sampleID	taxon_oid	Domain	Sequencing Status	Ecosystem	Study Name	Genome Name / Sample Name	Sequencing Center	Add Date	Assembly Method	Has Coverage	Release Date	Sequencing Method	Genome Size   * assembled	Gene Count   * assembled	GC   * assembled	KO %   * assembled	richness_KO	Hypothesis	Analysis	Latitude	Longitude	Contact Email	Contact Name	JGI Data Utilization Status	JGI Data Utilization Status_GOLD_07Apr2022	PermissionNotes
X3300004072	3300004072	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleA_D2"	DOE Joint Genome Institute (JGI)	3/22/15	megahit v. megahit: MEGAHIT v0.2.0	Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	627889209	2139946	55.27337	40.55	6390	"H2, Ac"	Both	38.107521	-121.649681	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300004078	3300004078	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleB_D2"	DOE Joint Genome Institute (JGI)	3/23/15	megahit v. megahit: MEGAHIT v0.2.0	Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	907368900	3149793	52.33264	37.51	6462	"H2, Ac"	Both	38.107521	-121.649681	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300004079	3300004079	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleC_D2"	DOE Joint Genome Institute (JGI)	3/26/15	megahit v. megahit: MEGAHIT v0.2.0	Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	1076930654	3691855	56.77555	40.39	6695	"H2, Ac"	Both	38.107521	-121.649681	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005218	3300005218	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_ThreeSqC_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	1013134411	3567874	61.65678	41.53	6492	"H2, Ac"	Both	38.000637	-121.624207	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005206	3300005206	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_ThreeSqB_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	505169782	1645600	62.16988	43.84	5994	"H2, Ac"	Both	38.000637	-121.624207	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005204	3300005204	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_TuleA_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	506502221	1606155	61.75848	45.26	5968	"H2, Ac"	Both	38.000706	-121.624306	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005213	3300005213	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_TuleB_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	584986559	1866458	61.40505	44.92	6079	"H2, Ac"	Both	38.000706	-121.624306	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005205	3300005205	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_TuleC_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	458798746	1485717	61.92271	44.96	5931	"H2, Ac"	Both	38.000706	-121.624306	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005208	3300005208	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_CattailA_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	427312518	1404832	56.41661	41.92	6256	"H2, Ac"	Both	38.107536	-121.649704	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005219	3300005219	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_CattailB_D2"	DOE Joint Genome Institute (JGI)	5/22/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	1262966923	4344126	53.27928	38.61	6696	"H2, Ac"	Both	38.107536	-121.649704	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005217	3300005217	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_CattailC_D2"	DOE Joint Genome Institute (JGI)	5/21/15		Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	1075822457	3719848	53.85964	39.35	6675	"H2, Ac"	Both	38.107536	-121.649704	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300036762	3300036762	*Microbiome	Permanent Draft	Sewage treatment	Microbial communities from various locations in USA and France	"Sewage microbial communities from WWTP in Marseille, France - spike0"	DOE Joint Genome Institute (JGI)	12/18/19	metaspades v. 3.13.0	Yes	5/6/20	Illumina NovaSeq	914408186	1389208	48.62	41.56	5749	"H2, Ac"	Both	43.11	5.95	lapennacchio@lbl.gov; twoyke@lbl.gov	Len Pennacchio; Tanja Woyke	Restricted	Restricted	
X3300036763	3300036763	*Microbiome	Permanent Draft	Sewage treatment	Microbial communities from various locations in USA and France	"Sewage microbial communities from WWTP in Marseille, France - spike1"	DOE Joint Genome Institute (JGI)	12/18/19	metaspades v. 3.13.0	Yes	5/6/20	Illumina NovaSeq	1096328173	1635424	48.39	41.3	5869	"H2, Ac"	Both	43.11	5.95	lapennacchio@lbl.gov; twoyke@lbl.gov	Len Pennacchio; Tanja Woyke	Restricted	Restricted	
X3300036764	3300036764	*Microbiome	Permanent Draft	Sewage treatment	Microbial communities from various locations in USA and France	"Sewage microbial communities from WWTP in Marseille, France - spike2"	DOE Joint Genome Institute (JGI)	12/18/19	metaspades v. 3.13.0	Yes	5/6/20	Illumina NovaSeq	1193300155	1784421	48.76	41.16	5945	"H2, Ac"	Both	43.11	5.95	lapennacchio@lbl.gov; twoyke@lbl.gov	Len Pennacchio; Tanja Woyke	Restricted	Restricted	
X3300036765	3300036765	*Microbiome	Permanent Draft	Sewage treatment	Microbial communities from various locations in USA and France	"Sewage microbial communities from WWTP in Marseille, France - spike3"	DOE Joint Genome Institute (JGI)	12/18/19	metaspades v. 3.13.0	Yes	5/6/20	Illumina NovaSeq	991470363	1484346	49.49	41.73	5818	"H2, Ac"	Both	43.11	5.95	lapennacchio@lbl.gov; twoyke@lbl.gov	Len Pennacchio; Tanja Woyke	Restricted	Restricted	
X3300048635	3300048635	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent flluid microbial communities from North Pacific Ocean - A5006-2E	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	461900114	824557	42.42	44.16	4948	H2	Both	9.838	-104.2914	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048629	3300048629	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent fluid microbial communities from North Pacific Ocean - A5008A-Sterivex	DOE Joint Genome Institute (JGI)	10/21/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	401284916	686605	41.19	42.76	5105	H2	Both	9.841667	-104.2917	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048644	3300048644	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-001-2750m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	586848700	951314	55.46	39.12	5629	H2	Both	8.3721	-104.3746	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048643	3300048643	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-002-1000m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	296841886	538297	53.1	42.56	4859	H2	Both	8.39977	-104.9807	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048642	3300048642	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-002-625m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	683064459	1139091	53.2	37.57	5659	H2	Both	8.39977	-104.9807	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048639	3300048639	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-003-450m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	421016025	682995	52.84	37.43	4938	H2	Both	8.39977	-104.9807	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048645	3300048645	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-005-500m-0.1	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	508726016	836983	40.26	39.34	5721	H2	Both	8.41285	-104.4194	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048637	3300048637	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-005-500m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	1023716071	1569144	55.07	36.7	5717	H2	Both	8.41285	-104.4194	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048636	3300048636	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-007-2500m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	535554427	892239	54.32	36.12	5428	H2	Both	9.83807	-104.29118	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048638	3300048638	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-008-2490m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	678795799	1110875	52.55	37.29	5495	H2	Both	9.83807	-104.29118	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048640	3300048640	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-009-32m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	625930178	1056952	52.22	37.9	5493	H2	Both	9.83899	-104.29088	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048641	3300048641	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-010-45m-0.65	DOE Joint Genome Institute (JGI)	10/22/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	520989850	867041	50.1	37.9	5185	H2	Both	9.84014	-104.29177	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
X3300048630	3300048630	*Microbiome	Permanent Draft	Hydrothermal vent	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD007A	DOE Joint Genome Institute (JGI)	10/21/21	metaspades v. 3.15.2	Yes	12/20/21	Illumina NovaSeq S4	871376927	1374369	53.75	36.99	6074	H2	Both	9.838067	-104.2912	randerson@carleton.edu	Rika Anderson	Restricted	Restricted	
