ALT,SOIL_H2O,MeanSnow,SAND,CLAY,SILT,PH,TDN,DOC,Dptotal,Dpinorg,cirsco,silaca,trillu,phlsib,anggra,senfre,hymgra,eriper,oxydig,bisbis,antalp,genalg,moss,geuros,elyscr,trispi,fesrub,descae,kobmyo,carnar,carper,carpha,carnig,poaalp,ligfil,richness,cirscoA,silacaA,trilluA,phlsibA,anggraA,senfreA,hymgraA,eriperA,oxydigA,bisbisA,antalpA,genalgA,mossA,geurosA,elyscrA,trispiA,fesrubA,descaeA,kobmyoA,carnarA,carperA,carphaA,carnigA,poaalpA,ligfilA,stems,burk,clost,acidGP1A,acidGP4A,rhodo,tm7,ktedo,acidim,acidGP3,desulf,acidGP7,pseudo,delta,rhizo,actinomyc,acidGP4,cyano,acidGP1,chitin,rubro,oxalo,sphingo
3863.168945,5.263157895,261.915,70,18,12,3.93,7.038971855,40.16918098,4.38,7.24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,17,0,12,0,5,0,0,0,0,0,0,0,0,36,0,0.02666666,0.06666666,0,0.05333333,0,0.12,0.02666666,0,0,0.01333333,0.01333333,0.02666666,0.05333333,0.02666666,0.02666666,0,0,0.06666666,0.01333333,0,0
3871.648926,7.52688172,87.019,78,12,9,4.1,5.92457947,35.92067535,7.26,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.03571428,0.03571428,0.04761904,0,0.01190476,0,0.09523809,0,0,0.01190476,0,0.02380952,0.08333333,0.01190476,0.01190476,0.04761904,0,0.02380952,0.10714285,0.01190476,0.02380952,0
3870.285645,7.52688172,63.5581,87,11,2,4.2,4.422122999,27.52079207,3.59,2.94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,8,8,0,5,0,0,0,0,0,0,37,0,0.02479338,0.03305785,0,0.08264462,0,0.02479338,0.03305785,0.02479338,0,0,0.00826446,0.01652892,0.02479338,0.04132231,0,0,0,0.04132231,0,0.05785123,0.00826446
3856.274658,14.94252874,65,73,13,15,4.73,6.927198587,47.15593715,3.59,6.56,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,6,0,0,0,4,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,44,0.01041666,0,0.03125,0,0.01041666,0,0.03125,0.02083333,0,0.03125,0.04166666,0,0.08333333,0.04166666,0,0,0.04166666,0.01041666,0.09375,0.01041666,0.08333333,0
3844.082275,16.27906977,65,71,12,17,4.8,11.93207362,93.68169551,2.49,4.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,6,0,0,0,0,0,0,0,0,30,0,0.01960784,0.04575163,0.01307189,0,0.01960784,0.17647058,0.01307189,0,0,0.01307189,0.01307189,0.01960784,0.03267973,0.01960784,0,0,0.03921568,0.07189542,0.03267973,0.00653594,0
3828.87915,16.27906977,65,66,18,15,4.71,8.727088425,62.19935996,3.13,5.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,9,0,0,0,5,0,0,0,25,0.03921568,0.00490196,0.0245098,0.00980392,0.00980392,0.00980392,0.03921568,0,0.00980392,0.01470588,0.01470588,0.00490196,0.05882352,0.0490196,0.03921568,0.02941176,0.00980392,0.02941176,0.16666666,0.00490196,0.02941176,0.01470588
3846.748291,6.382978723,60.6189,84,12,3,4.77,5.561203054,38.31181688,3.31,7.39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,13,9,0,0,0,0,8,0,0,0,42,0,0,0.03937007,0.01574803,0.02362204,0.00787401,0.07874015,0.01574803,0,0.00787401,0.00787401,0.00787401,0.05511811,0.01574803,0.04724409,0.00787401,0.01574803,0,0.11811023,0.00787401,0.04724409,0
3859.500977,12.35955056,197.641,67,18,15,4.41,6.29838576,56.31854027,4.25,8.39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,3,16,0,0,0,0,0,0,0,0,48,0.00581395,0.01937984,0.01744186,0.01550387,0.01356589,0.0116279,0.08914728,0.00775193,0,0.01744186,0.0368217,0.01356589,0.05426356,0.02325581,0.0116279,0.00387596,0.01937984,0.0116279,0.05038759,0.00775193,0.02713178,0.0116279
3814.261475,3.092783505,65,86,10,3,5.04,12.82849904,74.21989459,6.7,8.72,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,0,6,56,0,0,0,0,3,0,0,0,0,0,26,14,0,9,0,0,0,0,0,0,0,0,114,0.02209944,0,0.00552486,0.0359116,0.02209944,0.00552486,0.00276243,0.00828729,0,0.00552486,0.00276243,0.02209944,0.05801104,0.05248618,0.03314917,0.03038674,0.00552486,0,0.27624309,0.00828729,0.05524861,0.0276243
3813.303467,0,65,86,10,3,4.58,4.361405878,32.68889874,1.72,6.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,10,0.01041666,0.01041666,0.04166666,0,0.04166666,0.02083333,0.04166666,0,0,0.01041666,0,0.01041666,0.01041666,0.02083333,0.05208333,0.04166666,0,0.01041666,0.13541666,0.02083333,0.05208333,0.03125
3826.134521,3.092783505,68.3429,87,10,3,4.06,4.836686726,35.25107296,3.1,6.28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,0,0,0,0,0,0,0,0,21,0,0.02985074,0.01492537,0,0.07462686,0,0.20895522,0,0,0,0.01492537,0.07462686,0.02985074,0,0.05970149,0,0,0,0.07462686,0.02985074,0,0
3831.755615,1.01010101,56.2458,79,14,7,3.98,4.033276631,29.06927177,5.09,9.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,7,0,0,0,0,0,0,0,0,29,0.00301204,0.02409638,0.01204819,0.00301204,0.03915662,0.00301204,0.19578313,0.00301204,0,0,0.00301204,0.05722891,0.00602409,0.00903614,0.01506024,0.00301204,0,0.00301204,0.0813253,0.01506024,0.00903614,0
3835.063721,2.040816327,102.523,52,20,27,4.19,8.52761773,47.35268915,7.05,8.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,17,3,0,0,0,0,0,0,0,0,27,0,0,0.01904761,0.01904761,0.01904761,0.01904761,0.0095238,0.0095238,0,0.0095238,0.05714285,0.0095238,0.06666666,0.06666666,0.0095238,0.01904761,0.0095238,0.0095238,0.17142857,0,0.02857142,0
3818.456787,12.35955056,278.769,87,10,3,4.6,18.4603743,113.3765947,23.75,34.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.05970149,0,0,0,0.10447761,0,0.01492537,0.01492537,0.01492537,0,0.02985074,0.01492537,0,0,0,0.01492537,0.05970149,0.02985074,0.02985074,0
3842.454346,4.166666667,236.308,63,21,17,4.11,6.942200871,48.70261032,5.82,8.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0.01351351,0.01351351,0.01351351,0.01351351,0,0.01351351,0.06756756,0,0,0.04054054,0.02702702,0,0.05405405,0,0.01351351,0,0.02702702,0.02702702,0.08108108,0.04054054,0.01351351,0.02702702
3810.116211,23.45679012,421.238,71,15,14,4.32,13.81471133,50.75696853,7.28,5.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,2,0,16,0.03045685,0,0.07614213,0,0.01015228,0,0,0,0.01015228,0.03553299,0,0,0.05583756,0.02538071,0.06598984,0,0,0,0.25888324,0,0.0609137,0.00507614
3812.261963,12.35955056,72.4137,63,14,23,4.42,13.18288831,92.88461956,8.39,20.73,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,44,0,3,6,0,12,0,0,0,0,0,0,72,0.00934579,0.02803738,0.04672897,0.01869158,0.00467289,0.00467289,0.02803738,0.00467289,0.00467289,0.00467289,0.04205607,0.01401869,0.04672897,0.00934579,0.01869158,0.02336448,0.00467289,0,0.1588785,0.01401869,0.02803738,0
3794.167969,12.35955056,149.44,59,20,21,4.4,15.82043779,97.94487281,7.62,13.64,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,7,1,11,0,0,0,0,4,0,0,0,0,0,0,52,0,0,2,10,0,14,0,0,0,0,0,94,0.01241134,0.02836879,0.03014184,0.02482269,0.01063829,0.00354609,0.08156028,0.01241134,0.02127659,0.01418439,0.03723404,0.00354609,0.04255319,0.04787234,0.00177304,0.01418439,0.00531914,0.03191489,0.12765957,0.00709219,0.00709219,0.01063829
3789.535889,11.11111111,149.521,37,24,39,4.65,9.003831849,57.9769575,1.48,5.56,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,10,0,1,0,0,13,0,0,0,1,1,0,0,32,0.00473933,0,0.014218,0.014218,0.00473933,0.014218,0.11374407,0.00473933,0.00473933,0.00947867,0.0521327,0,0.06161137,0.01895734,0,0,0,0.0521327,0.12322274,0.00473933,0.01895734,0.00473933
3792.47998,7.52688172,311.365,55,22,23,4.08,8.337230387,32.30046255,5.44,9.78,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,10,0,0,0,3,0,0,3,0,21,0.01587301,0,0.0420168,0,0.01120448,0.02334267,0,0,0.02987861,0.02054154,0.01027077,0,0.03641456,0.07936507,0.05042016,0.0009337,0,0,0.22222222,0,0.06162464,0.00653594
3739.827148,1.01010101,160.336,70,8,21,4.44,2.262626263,19.64223875,0.39,1.85,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,8,0,0,61,0,0,0,0,0,0,0,0,0,8,27,0,0,8,17,19,11,0,0,38,0,0,189,0.01677852,0.01677852,0.02013422,0,0.08053691,0.0033557,0.0738255,0.01342281,0.06711409,0,0.01342281,0.02684563,0.02684563,0.03355704,0.0033557,0,0,0.01677852,0.07046979,0.01342281,0.0067114,0.01006711
3706.390625,2.040816327,245.467,54,16,29,5.24,1.563124437,21.34503983,0,2.41,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,7,0,0,0,0,6,0,0,0,4,0,0,0,21,0,0,5,0,12,0,13,0,6,0,0,0,67,0.01801801,0.009009,0.01801801,0.04504504,0.03603603,0,0.04504504,0.01801801,0.009009,0,0.009009,0,0.03603603,0.02702702,0.06306306,0.009009,0,0.009009,0.23423423,0.009009,0.01801801,0
3681.702393,7.52688172,335.958,69,16,15,4.25,2.713191602,26.28875059,0.2,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0.01149425,0.08045977,0,0,0.03448275,0.09195402,0.01149425,0.01149425,0.01149425,0.0229885,0,0.01149425,0,0.01149425,0,0,0.0229885,0.08045977,0.0229885,0.0229885,0.0229885
3647.414063,5.263157895,375.449,66,10,23,4.75,2.624555802,23.60320284,0,3.14,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,8,0.01886792,0,0,0,0.01886792,0,0,0,0,0.01886792,0.01886792,0,0.05660377,0.03773584,0,0,0.05660377,0,0.07547169,0,0.01886792,0
3636.621338,12.35955056,334.524,46,20,33,4.19,4.436319234,42.94399608,4.65,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0.00645161,0.00645161,0.06451612,0,0.01935483,0.00645161,0.02580645,0,0.00645161,0.04516129,0.0516129,0,0.07096774,0.01290322,0,0,0.01935483,0.03225806,0.03225806,0,0.03225806,0.00645161
3637.703369,1.01010101,225.845,61,16,23,4.35,5.295467163,33.26817655,3.57,5.24,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,18,0.02868318,0,0.01825293,0.00782268,0.02216427,0.02086049,0.00912646,0.00391134,0.01173402,0.01434159,0.05606258,0.00391134,0.0547588,0.03780964,0.05606258,0.00260756,0,0.00260756,0.0886571,0.01694915,0.05084745,0.01564537
3659.578613,1.01010101,187.56,63,15,22,4.43,6.555555556,24.72222222,3.84,5.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0.01754385,0.02631578,0.02631578,0,0.04385964,0.01754385,0.02631578,0,0.03508771,0.00877192,0,0.03508771,0.05263157,0.01754385,0.05263157,0.01754385,0,0,0.0614035,0,0,0.02631578
3691.33252,6.382978723,109.354,89,7,4,5.33,9.255319149,59.52659574,20,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,3,9,0,0,18,8,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,52,0.02219979,0,0.00403632,0.03733602,0.01816347,0.01009081,0.01513622,0.00403632,0.01109989,0.01009081,0.02018163,0.00908173,0.04339051,0.11604439,0.06256306,0.01311806,0.0050454,0.01109989,0.15741675,0.00403632,0.07971745,0.0161453
3811.16333,3.092783505,196.654,64,13,23,5.29,8.577386068,79.60615002,3.51,5.71,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,10,0,5,0,0,2,3,5,0,0,0,5,0,3,41,0,0,8,3,0,17,0,0,0,0,0,92,0.04,0,0,0.04,0,0,0.01333333,0.04,0.01333333,0,0.02666666,0,0.05333333,0.06666666,0.05333333,0.16,0.02666666,0,0.14666666,0,0.02666666,0.02666666
3794.465088,2.040816327,190.603,72,13,15,4.76,6.823563066,38.48846432,4,6.81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,9,19,0,13,0,0,0,0,0,55,0,0,0.0117647,0.02352941,0.05882352,0,0.0117647,0,0.0117647,0.0117647,0.0117647,0,0.02352941,0.0117647,0.02352941,0.0117647,0.05882352,0.0117647,0.14117647,0.02352941,0.02352941,0.03529411
3798.581787,5.263157895,186.165,54,13,33,5.43,6.479396084,52.70158527,2.86,4.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.04166666,0.02083333,0.03125,0.01041666,0.01041666,0.01041666,0,0.01041666,0,0.01041666,0.05208333,0,0.04166666,0.02083333,0.02083333,0.04166666,0.0625,0,0.08333333,0,0.05208333,0.01041666
3784.71167,1.01010101,169.23,65,15,20,4.7,5.090909091,29.33847936,3.96,5.26,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,3,1,0,0,0,0,0,0,0,16,0,0.02564102,0,0.01282051,0.05128205,0.01282051,0.01282051,0,0.03846153,0.02564102,0.03846153,0.02564102,0.08974358,0,0.01282051,0.01282051,0,0.01282051,0.24358974,0.01282051,0,0
3769.222656,2.04,169.397,74,14,12,4.6,9.114925592,60.36931604,4.41,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,9,2,2,17,0,0,0,0,0,0,0,0,0,0,56,0,11,3,0,0,12,4,6,0,0,0,113,0.01369863,0.02739726,0,0,0.04109589,0.01369863,0.17808219,0.01369863,0,0,0,0.01369863,0.01369863,0.01369863,0.05479452,0.04109589,0,0,0.19178082,0.01369863,0.06849315,0.01369863
3758.724365,5.263157895,115.302,64,14,22,4.57,34.01707188,255.1466781,20.87,19.16,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,6,0,16,4,7,0,0,0,0,0,0,0,0,0,18,0,17,6,0,0,0,0,0,0,0,0,68,0.01438848,0.01438848,0.08633093,0.01438848,0,0.01438848,0.11510791,0.01438848,0.00719424,0,0.01438848,0.01438848,0.02877697,0.0647482,0.05035971,0.01438848,0,0.04316546,0.11510791,0.00719424,0.04316546,0
3755.185791,5.263157895,234.616,67,16,16,4.67,3.701279231,30.49583194,3.8,4.71,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,2,0,1,0,0,0,0,0,0,21,0.02333333,0.00666666,0.03,0.01333333,0.01,0.01666666,0.00333333,0.02,0.01333333,0.02333333,0.04333333,0,0.09,0.02333333,0.01333333,0,0.01666666,0.00666666,0.09333333,0.00333333,0.01,0.00333333
3763.769043,2.040816327,179.827,70,12,19,4.58,8.422047241,51.79867069,4.33,6.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,12,0,2,0,12,0,0,0,0,0,32,0,0.01351351,0.01801801,0.04054054,0.0045045,0.01801801,0.0045045,0.03153153,0.009009,0.009009,0.01801801,0.0045045,0.04504504,0.05855855,0.04504504,0.01801801,0,0.0045045,0.11261261,0.02252252,0.03153153,0.02702702
3779.546875,1.01010101,207.179,70,14,17,4.61,11.37218779,74.87739067,4.85,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,6,0,0,3,0,0,0,4,0,0,2,0,0,2,22,0,0,0,0,0,39,0,0.02325581,0.02325581,0,0,0.0116279,0,0.0116279,0.05813953,0,0.02325581,0,0.05813953,0.04651162,0,0,0.03488372,0.02325581,0.23255813,0.0116279,0.03488372,0.0116279
3778.72583,3.092783505,190.418,74,14,12,4.73,6.487721314,46.23341614,3.52,5.7,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,8,1,0,0,0,0,2,0,0,2,0,6,0,1,0,0,0,0,26,2,14,0,0,0,0,0,54,0.01587301,0.01587301,0,0,0.03174603,0,0,0.06349206,0.01587301,0.01587301,0.01587301,0,0.09523809,0.04761904,0.01587301,0.01587301,0.01587301,0.03174603,0.06349206,0,0.04761904,0
3754.761963,1.01010101,143.168,73,16,11,4.93,9.636363636,78.65656566,3.37,3.89,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,11,0,0,1,0,0,2,0,3,0,0,12,0,13,2,0,6,5,72,0,4,11,0,0,0,0,131,0,0,0,0.04,0.02,0,0,0,0.02,0.02,0.02,0,0.02,0.04,0,0.02,0.02,0.06,0.14,0,0.04,0.02
3697.876953,3.092783505,159.848,67,14,19,4.21,6.716494845,48.77835052,2.21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,50,0,0,8,0,7,0,14,0,0,0,0,0,82,0.03061224,0,0.01020408,0.02040816,0,0,0.02040816,0.01020408,0,0,0.03061224,0,0.07142857,0.04081632,0.02040816,0.02040816,0.06122448,0,0.12244897,0.01020408,0,0.02040816
3656.428711,16.27906977,88.3431,70,14,16,5.28,6.994374728,44.79812431,15.11,15.26,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,1,11,0,3,52,4,0,0,0,0,0,0,0,1,15,0,44,0,0,0,0,0,0,0,132,0.01020408,0,0,0.04081632,0,0.01020408,0.01530612,0.01020408,0.01020408,0.01530612,0.03061224,0,0.12755102,0.06632653,0.01020408,0.0255102,0.00510204,0.01020408,0.13265306,0.00510204,0.05612244,0.03061224
