sample,plantsp,plot,plotabcd,density,richness,sourcesp,rep,tmass,amass
39,FesBra,(c) Low/High,C,Low,15,FesBra,7,0.4048,0.1909
32,FesBra,(c) Low/High,C,Low,15,FesBra,8,0.2035,0.1295
126,FesBra,(c) Low/High,C,Low,15,TriSpi,1,0.1331,0.0701
125,FesBra,(c) Low/High,C,Low,15,TriSpi,2,0.0176,0.0176
81,FesBra,(c) Low/High,C,Low,15,TriSpi,3,0.2055,0.0729
124,FesBra,(c) Low/High,C,Low,15,TriSpi,4,0.2544,0.1254
58,FesBra,(c) Low/High,C,Low,15,TriSpi,5,0.801,0.1775
78,FesBra,(c) Low/High,C,Low,15,TriSpi,6,0.3805,0.2064
127,FesBra,(c) Low/High,C,Low,15,TriSpi,7,0.0719,0.0158
101,FesBra,(c) Low/High,C,Low,15,TriSpi,8,0.2859,0.1295
23,TriSpi,(c) Low/High,C,Low,15,FesBra,1,0.5568,0.1539
13,TriSpi,(c) Low/High,C,Low,15,FesBra,2,0.5033,0.1923
12,TriSpi,(c) Low/High,C,Low,15,FesBra,3,0.4011,0.1782
15,TriSpi,(c) Low/High,C,Low,15,FesBra,4,0.5396,0.1171
14,TriSpi,(c) Low/High,C,Low,15,FesBra,5,0.5748,0.1471
22,TriSpi,(c) Low/High,C,Low,15,FesBra,6,0.5841,0.2278
111,TriSpi,(c) Low/High,C,Low,15,FesBra,7,0.066,0.0233
11,TriSpi,(c) Low/High,C,Low,15,FesBra,8,0.3219,0.132
65,TriSpi,(c) Low/High,C,Low,15,TriSpi,1,0.4412,0.1515
54,TriSpi,(c) Low/High,C,Low,15,TriSpi,2,0.3229,0.097
110,TriSpi,(c) Low/High,C,Low,15,TriSpi,3,0.4089,0.1417
50,TriSpi,(c) Low/High,C,Low,15,TriSpi,4,0.1001,0.0425
99,TriSpi,(c) Low/High,C,Low,15,TriSpi,5,0.7777,0.4066
97,TriSpi,(c) Low/High,C,Low,15,TriSpi,6,1.0668,0.3708
73,TriSpi,(c) Low/High,C,Low,15,TriSpi,7,0.6233,0.1712
69,TriSpi,(c) Low/High,C,Low,15,TriSpi,8,0.0882,0.0188
42,FesBra,(d) Low/Low,D,Low,5,FesBra,1,0.1776,0.132
45,FesBra,(d) Low/Low,D,Low,5,FesBra,2,0.1672,0.097
47,FesBra,(d) Low/Low,D,Low,5,FesBra,3,0.0841,0.0333
44,FesBra,(d) Low/Low,D,Low,5,FesBra,4,0.1814,0.086
5,FesBra,(d) Low/Low,D,Low,5,FesBra,4,0.2755,0.0861
41,FesBra,(d) Low/Low,D,Low,5,FesBra,5,0.2639,0.0556
46,FesBra,(d) Low/Low,D,Low,5,FesBra,6,0.0856,0.0502
43,FesBra,(d) Low/Low,D,Low,5,FesBra,8,0.121,0.082
103,FesBra,(d) Low/Low,D,Low,5,TriSpi,1,0.4755,0.1807
102,FesBra,(d) Low/Low,D,Low,5,TriSpi,2,0.5294,0.1922
86,FesBra,(d) Low/Low,D,Low,5,TriSpi,3,0.5232,0.1655
59,FesBra,(d) Low/Low,D,Low,5,TriSpi,4,0.1885,0.1055
60,FesBra,(d) Low/Low,D,Low,5,TriSpi,5,1.1,0.4391
62,FesBra,(d) Low/Low,D,Low,5,TriSpi,6,0.7794,0.3652
61,FesBra,(d) Low/Low,D,Low,5,TriSpi,7,0.623,0.2502
123,FesBra,(d) Low/Low,D,Low,5,TriSpi,8,0.5654,0.2169
18,TriSpi,(d) Low/Low,D,Low,5,FesBra,1,0.4655,0.1125
25,TriSpi,(d) Low/Low,D,Low,5,FesBra,2,0.7159,0.1619
21,TriSpi,(d) Low/Low,D,Low,5,FesBra,3,0.8955,0.256
92,TriSpi,(d) Low/Low,D,Low,5,FesBra,4,1.1942,0.3706
17,TriSpi,(d) Low/Low,D,Low,5,FesBra,5,0.6659,0.1944
24,TriSpi,(d) Low/Low,D,Low,5,FesBra,6,0.5693,0.0955
20,TriSpi,(d) Low/Low,D,Low,5,FesBra,7,0.3619,0.0529
19,TriSpi,(d) Low/Low,D,Low,5,FesBra,8,1.4318,0.439
74,TriSpi,(d) Low/Low,D,Low,5,TriSpi,1,0.3608,0.1154
68,TriSpi,(d) Low/Low,D,Low,5,TriSpi,2,0.08,0.0469
108,TriSpi,(d) Low/Low,D,Low,5,TriSpi,3,0,0
71,TriSpi,(d) Low/Low,D,Low,5,TriSpi,4,0.6331,0.5634
67,TriSpi,(d) Low/Low,D,Low,5,TriSpi,5,0.3894,0.1454
98,TriSpi,(d) Low/Low,D,Low,5,TriSpi,6,0.0833,0.0382
70,TriSpi,(d) Low/Low,D,Low,5,TriSpi,7,0.3893,0.121
49,TriSpi,(d) Low/Low,D,Low,5,TriSpi,8,0.9212,0.2312
