"","Plot","Easting","Northing","Site","Hyphae","Vesicles","Arbuscules","AM","DSE","NM","Colonization","AM_Present","DS_Present","Olpidium","Species","Family","Class","Type","Group","Stems_2008","Stems_2015","Stem_Change","Density","Rich_2015","PCo1","PCo2","Elevation","Snowpack","Moisture","Sand","MBC","DOC7","TDN7","TDP","TDIP","pH","Spores","AG","BG","BXYL","CBH","LAP","NAG","PHOS","BG.NAG","NAG.PHOS","Glomeromycota","Pleosporales","Microascales","Xylariales","Pezizales","Dothideales","Leotiales","Chaetothyriales","Eurotiales","Onygenales","Saccharomycetales","Taphrinales","Ambispora","Archaeospora","Acaulospora","Diversispora","Entrophospora","Gigaspora","Scutellospora","Glomus","Paraglomus","Herpotrichia","Leptosphaeria","Pleospora","Xylaria","Dothidea","Cudonia","Sclerotinia","Spathularia","Capronia","Elaphomyces","Debaryomyces","Taphrina","Alternaria","Aspergillus","Phialocephala","Phialophora","Shannon","DOC15","TDN15","Mean.Snow","Trend.Snow","CV.Snow","Julian","AMlogit","DSElogit","DensityLog","TDPlog","TDNlog","DSE_Curve"
"84",94,446469,4434083,"M",0,0,0,0,3,97,3,0,1,1,"TRISPI","Poaceae","Graminoid","Grass","Grass",13,33,20,11,6,-0.24604166,-0.100669181,3659.6,187.56,1.01,63,129.869,24.72222222,6.555555556,3.84,5.93,4.43,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007062924,0.06301596,0,4.59e-05,0.002797652,0.000596221,0.011465786,0.022197762,0.003072831,0.000412768,0.011878554,0.0008714,0,0,0,0,0,0,0.000183453,0,0,0,0,0,0,0.000137589,0,9.17e-05,0,0.001742799,0,0,0.000779673,4.59e-05,0,0,0,1.52,10.15,0.63,161.1,-5.15,0.46,229,-3.66356164612965,-2.87308931674742,2.39789527279837,1.34547236659964,-0.462035459596559,8.6435747403
"1",0,446512,4434101,"D",0,0,0,0,27,73,27,0,1,0,"FESBRA","Poaceae","Graminoid","Grass","Grass",128,313,185,100,21,0.345075193,0.31539161,3660.6,152.511,4.17,71,138.938,49.00520833,8.114583333,5.18,5.45,4.52,27,18.6055026,330.4447921,83.91176317,120.3467245,NA,37.72090069,418.5022281,8.760257206,0.090133094,0.047602636,0.045922543,0,0.000215397,0.002326283,0,0.000215397,0.109679921,0.014862362,0.000861586,0.002886314,0.001076983,0.03864214,0,0.001163141,8.62e-05,0,0,0,0,4.31e-05,0.0012493,0.002584759,0,0,0,0,0,0,0.036014302,0,0,0,0,0,8.62e-05,0,2.03,79.77,12.64,139.61,-5.75,0.58,229,-3.66356164612965,-0.937033257939334,4.60517018598809,1.64480505627139,2.53686638871871,8.56495567144166
"2",0,446512,4434101,"D",0,0,0,0,0,100,0,0,0,0,"OREALP","Apiaceae","Forb","Forb","Forb",128,313,185,100,21,0.345075193,0.31539161,3660.6,152.511,4.17,71,138.938,49.00520833,8.114583333,5.18,5.45,4.52,27,18.6055026,330.4447921,83.91176317,120.3467245,NA,37.72090069,418.5022281,8.760257206,0.090133094,0.047602636,0.045922543,0,0.000215397,0.002326283,0,0.000215397,0.109679921,0.014862362,0.000861586,0.002886314,0.001076983,0.03864214,0,0.001163141,8.62e-05,0,0,0,0,4.31e-05,0.0012493,0.002584759,0,0,0,0,0,0,0.036014302,0,0,0,0,0,8.62e-05,0,2.03,79.77,12.64,139.61,-5.75,0.58,229,-3.66356164612965,-3.66356164612965,4.60517018598809,1.64480505627139,2.53686638871871,8.56495567144166
"3",0,446512,4434101,"D",1,28,0,28,42,37,63,1,1,0,"SILACA","Caryophyllaceae","Forb","Forb","Forb",128,313,185,100,21,0.345075193,0.31539161,3660.6,152.511,4.17,71,138.938,49.00520833,8.114583333,5.18,5.45,4.52,27,18.6055026,330.4447921,83.91176317,120.3467245,NA,37.72090069,418.5022281,8.760257206,0.090133094,0.047602636,0.045922543,0,0.000215397,0.002326283,0,0.000215397,0.109679921,0.014862362,0.000861586,0.002886314,0.001076983,0.03864214,0,0.001163141,8.62e-05,0,0,0,0,4.31e-05,0.0012493,0.002584759,0,0,0,0,0,0,0.036014302,0,0,0,0,0,8.62e-05,0,2.03,79.77,12.64,139.61,-5.75,0.58,229,-0.890532259360635,-0.306374205463934,4.60517018598809,1.64480505627139,2.53686638871871,8.56495567144166
"85",95,446548,4434163,"D",0,0,0,0,4,96,4,0,1,0,"AGRVAR","Poaceae","Graminoid","Grass","Grass",52,158,106,50,20,0.258635657,0.03235817,3691.3,109.354,6.38,89,89.867,59.52659574,9.255319149,20,0,5.33,NA,17.66429213,338.5461876,124.8662588,137.2714675,1.201502055,149.9062649,562.5821329,2.258385851,0.266461119,0.060530161,0.041327489,0,0,0.001043623,0,0,0.078689209,0,0.000834899,0.004174494,0,0.035691922,0,0.000208725,0,0.004591943,0,0,0,0,0,0.003965769,0,0,0,0,0,0,0.008975162,0,0,0,0,0,0,0,2.01,23.45,3.33,119.7,-4.73,0.75,229,-3.66356164612965,-2.69954855584689,3.91202300542815,2.99573227355399,1.20297230399235,6.46653811385819
"86",95,446548,4434163,"D",2,0,0,2,1,97,3,1,1,0,"ANGGRA","Apiaceae","Forb","Forb","Forb",52,158,106,50,20,0.258635657,0.03235817,3691.3,109.354,6.38,89,89.867,59.52659574,9.255319149,20,0,5.33,NA,17.66429213,338.5461876,124.8662588,137.2714675,1.201502055,149.9062649,562.5821329,2.258385851,0.266461119,0.060530161,0.041327489,0,0,0.001043623,0,0,0.078689209,0,0.000834899,0.004174494,0,0.035691922,0,0.000208725,0,0.004591943,0,0,0,0,0,0.003965769,0,0,0,0,0,0,0.008975162,0,0,0,0,0,0,0,2.01,23.45,3.33,119.7,-4.73,0.75,229,-3.07856827913314,-3.33168677783125,3.91202300542815,2.99573227355399,1.20297230399235,6.46653811385819
"87",95,446548,4434163,"D",2,0,0,2,62,38,62,1,1,0,"MERLAN","Boraginaceae","Forb","Forb","Forb",52,158,106,50,20,0.258635657,0.03235817,3691.3,109.354,6.38,89,89.867,59.52659574,9.255319149,20,0,5.33,NA,17.66429213,338.5461876,124.8662588,137.2714675,1.201502055,149.9062649,562.5821329,2.258385851,0.266461119,0.060530161,0.041327489,0,0,0.001043623,0,0,0.078689209,0,0.000834899,0.004174494,0,0.035691922,0,0.000208725,0,0.004591943,0,0,0,0,0,0.003965769,0,0,0,0,0,0,0.008975162,0,0,0,0,0,0,0,2.01,23.45,3.33,119.7,-4.73,0.75,229,-3.07856827913314,0.464157558682312,3.91202300542815,2.99573227355399,1.20297230399235,6.46653811385819
"88",95,446548,4434163,"D",3,0,0,3,55,45,55,1,1,0,"SILACA","Caryophyllaceae","Forb","Forb","Forb",52,158,106,50,20,0.258635657,0.03235817,3691.3,109.354,6.38,89,89.867,59.52659574,9.255319149,20,0,5.33,NA,17.66429213,338.5461876,124.8662588,137.2714675,1.201502055,149.9062649,562.5821329,2.258385851,0.266461119,0.060530161,0.041327489,0,0,0.001043623,0,0,0.078689209,0,0.000834899,0.004174494,0,0.035691922,0,0.000208725,0,0.004591943,0,0,0,0,0,0.003965769,0,0,0,0,0,0,0.008975162,0,0,0,0,0,0,0,2.01,23.45,3.33,119.7,-4.73,0.75,229,-2.87308931674742,0.190574698550676,3.91202300542815,2.99573227355399,1.20297230399235,6.46653811385819
"145",132,446738,4434219,"D",30,25,0,30,0,69,31,1,0,0,"GEUROS","Rosaceae","Forb","Forb","Forb",204,762,558,243,20,0.235853595,0.427641037,3693.5,117.004,3.09,74,102.454,47.34536082,6.402061856,4.45,5.39,5,118,14.56000486,307.7712463,76.05023128,155.1708478,1.326134795,112.4293986,437.4476381,2.737462355,0.257012243,0.029399552,0.048500955,0,0,0.003155884,0,0.001328793,0.044431526,0.000415248,0.001245744,0.000332198,0.000581347,0.01984885,0,8.3e-05,0,0,0.000415248,0,0,0,0,0.00398638,0,0,0,0,0,0.001079645,0.017938709,0,0,0,8.3e-05,0,0.034631675,0,1.8,44.14,4.99,130.45,-11.45,0.86,231,-0.800119300112113,-3.66356164612965,5.49306144334055,1.49290409617815,1.60743590976343,6.33960468521372
"146",132,446738,4434219,"D",3,0,0,3,4,93,7,1,1,0,"KOBMYO","Cyperaceae","Graminoid","Sedge","Sedge",204,762,558,243,20,0.235853595,0.427641037,3693.5,117.004,3.09,74,102.454,47.34536082,6.402061856,4.45,5.39,5,118,14.56000486,307.7712463,76.05023128,155.1708478,1.326134795,112.4293986,437.4476381,2.737462355,0.257012243,0.029399552,0.048500955,0,0,0.003155884,0,0.001328793,0.044431526,0.000415248,0.001245744,0.000332198,0.000581347,0.01984885,0,8.3e-05,0,0,0.000415248,0,0,0,0,0.00398638,0,0,0,0,0,0.001079645,0.017938709,0,0,0,8.3e-05,0,0.034631675,0,1.8,44.14,4.99,130.45,-11.45,0.86,231,-2.87308931674742,-2.69954855584689,5.49306144334055,1.49290409617815,1.60743590976343,6.33960468521372
"147",132,446738,4434219,"D",10,1,0,10,12,81,19,1,1,0,"LLOSER","Liliaceae","Forb","Forb","Forb",204,762,558,243,20,0.235853595,0.427641037,3693.5,117.004,3.09,74,102.454,47.34536082,6.402061856,4.45,5.39,5,118,14.56000486,307.7712463,76.05023128,155.1708478,1.326134795,112.4293986,437.4476381,2.737462355,0.257012243,0.029399552,0.048500955,0,0,0.003155884,0,0.001328793,0.044431526,0.000415248,0.001245744,0.000332198,0.000581347,0.01984885,0,8.3e-05,0,0,0.000415248,0,0,0,0,0.00398638,0,0,0,0,0,0.001079645,0.017938709,0,0,0,8.3e-05,0,0.034631675,0,1.8,44.14,4.99,130.45,-11.45,0.86,231,-1.99243016469021,-1.82362057129704,5.49306144334055,1.49290409617815,1.60743590976343,6.33960468521372
"126",119,446779,4434241,"D",40,19,0,40,0,60,40,1,0,0,"CARPHA","Cyperaceae","Graminoid","Sedge","Sedge",82,115,33,37,13,0.216510623,-0.083078719,3697.9,159.848,3.09,67,11.598,48.77835052,6.716494845,2.21,0,4.21,22,1.051908864,40.40563539,4.359484383,9.056805869,0.3183703,7.18545647,60.12379481,5.623252407,0.119511027,0.024353307,0.055050753,0.000818599,0.00016372,4.09e-05,0,0.008185986,0.039129011,0.000409299,0,0.006262279,0.000286509,0,0,0,0,0,0,0,0.004584152,0.000818599,0,0,0,0.00016372,0,0,0.00024558,0,0.010518991,0,0,0,0.00012279,0.00016372,0,0,1.77,17.1,2.44,154.19,-11.62,0.61,231,-0.384674338439091,-3.66356164612965,3.61091791264422,0.792992515529661,0.89199803930511,6.09514303692659
"127",119,446779,4434241,"D",0,1,0,1,5,95,5,1,1,0,"FESBRA","Poaceae","Graminoid","Grass","Grass",82,115,33,37,13,0.216510623,-0.083078719,3697.9,159.848,3.09,67,11.598,48.77835052,6.716494845,2.21,0,4.21,22,1.051908864,40.40563539,4.359484383,9.056805869,0.3183703,7.18545647,60.12379481,5.623252407,0.119511027,0.024353307,0.055050753,0.000818599,0.00016372,4.09e-05,0,0.008185986,0.039129011,0.000409299,0,0.006262279,0.000286509,0,0,0,0,0,0,0,0.004584152,0.000818599,0,0,0,0.00016372,0,0,0.00024558,0,0.010518991,0,0,0,0.00012279,0.00016372,0,0,1.77,17.1,2.44,154.19,-11.62,0.61,231,-3.33168677783125,-2.54890623262096,3.61091791264422,0.792992515529661,0.89199803930511,6.09514303692659
"128",119,446779,4434241,"D",0,0,0,0,0.5,99.5,0.5,0,1,0,"TRISPI","Poaceae","Graminoid","Grass","Grass",82,115,33,37,13,0.216510623,-0.083078719,3697.9,159.848,3.09,67,11.598,48.77835052,6.716494845,2.21,0,4.21,22,1.051908864,40.40563539,4.359484383,9.056805869,0.3183703,7.18545647,60.12379481,5.623252407,0.119511027,0.024353307,0.055050753,0.000818599,0.00016372,4.09e-05,0,0.008185986,0.039129011,0.000409299,0,0.006262279,0.000286509,0,0,0,0,0,0,0,0.004584152,0.000818599,0,0,0,0.00016372,0,0,0.00024558,0,0.010518991,0,0,0,0.00012279,0.00016372,0,0,1.77,17.1,2.44,154.19,-11.62,0.61,231,-3.66356164612965,-3.48472463825738,3.61091791264422,0.792992515529661,0.89199803930511,6.09514303692659
"77",81,445778,4433723,"M",4,0,0,4,0,96,4,1,0,0,"CARPYR","Cyperaceae","Graminoid","Sedge","Sedge",67,129,62,41,9,0.189235164,-0.062639226,3706.4,245.467,2.04,54,9.996,21.34503983,1.563124437,0.01,2.41,5.24,0,4.593452212,135.3815665,40.40784931,40.49443755,0.680126122,26.15932554,353.1221724,5.175269763,0.074080099,0.000910548,0.026551573,0.001420455,0,0.000801282,0,0,0.047275641,0.001238345,0,0.005973193,3.64e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218531,0,3.64e-05,0,0.000145688,3.64e-05,0,0,3.64e-05,0,1.5,23.03,3.07,223.83,-4.41,0.55,228,-2.69954855584689,-3.66356164612965,3.71357206670431,-4.60517018598809,1.12167756159911,5.65840001689156
"78",81,445778,4433723,"M",0.5,0,0,0.5,0,100,0,1,0,0,"KOBMYO","Cyperaceae","Graminoid","Sedge","Sedge",67,129,62,41,9,0.189235164,-0.062639226,3706.4,245.467,2.04,54,9.996,21.34503983,1.563124437,0.01,2.41,5.24,0,4.593452212,135.3815665,40.40784931,40.49443755,0.680126122,26.15932554,353.1221724,5.175269763,0.074080099,0.000910548,0.026551573,0.001420455,0,0.000801282,0,0,0.047275641,0.001238345,0,0.005973193,3.64e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218531,0,3.64e-05,0,0.000145688,3.64e-05,0,0,3.64e-05,0,1.5,23.03,3.07,223.83,-4.41,0.55,228,-3.48472463825738,-3.66356164612965,3.71357206670431,-4.60517018598809,1.12167756159911,5.65840001689156
"131",123,446859,4434292,"D",0,1,0,1,0,99,1,1,0,0,"CARPYR","Cyperaceae","Graminoid","Sedge","Sedge",16,20,4,6,3,-0.409757353,0.116151824,3709.5,283.281,1.01,81,3.894,32.90909091,6.601010101,5.97,9.44,3.91,8,0.890405934,24.24790322,2.10570732,5.637482272,0.240817215,4.943414763,57.71888198,4.9050918,0.085646405,0,0.128443055,0,0,0.000390701,0.000195351,0,0.043856222,0.020511819,0,0.000879078,0.001367455,0,0,0,0,0,0,0,0,0,0,0,0.000293026,0,0,0,0.000293026,0,0.000293026,0,0,0.000195351,0,0,0,0,0.95,17.45,3.05,239.74,-4.97,0.4,231,-3.33168677783125,-3.66356164612965,1.79175946922805,1.78674692740451,1.11514159061932,5.51076366357721
"139",128,446628,4434229,"D",72,31,13,72,1,27,73,1,1,0,"BESALP","Scrophulariaceae","Forb","Forb","Forb",30,41,11,13,8,-0.186359777,-0.134177802,3710.3,123.506,1.01,73,100,118.459596,11.97474747,3.65,7.52,4.95,30,1.103302957,38.99391568,4.638171353,12.79869848,0.246088944,5.544199414,95.02318319,7.033281592,0.058345756,0.000948407,0.211494689,0.000189681,0.000569044,0,0.000189681,0.018968134,0.043626707,0.000379363,0.002465857,0,0.000379363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003034901,0,0,0.000379363,0,0,0,0,1.53,15.8,2.27,147.47,-4.49,0.53,231,0.890532259360635,-3.33168677783125,2.56494935746154,1.2947271675944,0.819779831493311,5.47367443649646
"140",128,446628,4434229,"D",14,2,0,14,0,84,16,1,0,0,"CARALB","Cyperaceae","Graminoid","Sedge","Sedge",30,41,11,13,8,-0.186359777,-0.134177802,3710.3,123.506,1.01,73,100,118.459596,11.97474747,3.65,7.52,4.95,30,1.103302957,38.99391568,4.638171353,12.79869848,0.246088944,5.544199414,95.02318319,7.033281592,0.058345756,0.000948407,0.211494689,0.000189681,0.000569044,0,0.000189681,0.018968134,0.043626707,0.000379363,0.002465857,0,0.000379363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003034901,0,0,0.000379363,0,0,0,0,1.53,15.8,2.27,147.47,-4.49,0.53,231,-1.67318498121536,-3.66356164612965,2.56494935746154,1.2947271675944,0.819779831493311,5.47367443649646
"141",128,446628,4434229,"D",0,1,0,1,15,84,16,1,1,0,"FESBRA","Poaceae","Graminoid","Grass","Grass",30,41,11,13,8,-0.186359777,-0.134177802,3710.3,123.506,1.01,73,100,118.459596,11.97474747,3.65,7.52,4.95,30,1.103302957,38.99391568,4.638171353,12.79869848,0.246088944,5.544199414,95.02318319,7.033281592,0.058345756,0.000948407,0.211494689,0.000189681,0.000569044,0,0.000189681,0.018968134,0.043626707,0.000379363,0.002465857,0,0.000379363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003034901,0,0,0.000379363,0,0,0,0,1.53,15.8,2.27,147.47,-4.49,0.53,231,-3.33168677783125,-1.60344987058948,2.56494935746154,1.2947271675944,0.819779831493311,5.47367443649646
"135",126,446725,4434250,"D",1,1,0,1,0,98,2,1,0,0,"FESBRA","Poaceae","Graminoid","Grass","Grass",148,296,148,94,14,0.37393761,0.319518395,3711.3,142.455,2.04,58,98.281,56.66836735,8.918367347,5.69,9.67,4.73,NA,23.42295121,787.9970489,385.8034443,416.8740615,0.707538564,572.5600007,1743.991065,1.37626982,0.328304435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,26.33,2.93,138.76,-9.33,0.68,231,-3.33168677783125,-3.66356164612965,4.54329478227,1.73871024813824,1.07500242302898,5.42789587014535
"136",126,446725,4434250,"D",1,5,0,5,20,74,26,1,1,0,"GEUROS","Rosaceae","Forb","Forb","Forb",148,296,148,94,14,0.37393761,0.319518395,3711.3,142.455,2.04,58,98.281,56.66836735,8.918367347,5.69,9.67,4.73,NA,23.42295121,787.9970489,385.8034443,416.8740615,0.707538564,572.5600007,1743.991065,1.37626982,0.328304435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,26.33,2.93,138.76,-9.33,0.68,231,-2.54890623262096,-1.29504568965475,4.54329478227,1.73871024813824,1.07500242302898,5.42789587014535
