Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
k__Bacteria;p__Acidobacteria;c__iii1-8;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__;f__	5.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.69E-05
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__	0.005642781	0.002435948	0.002467517	0.002028347	0.000623701	0.00224679	0.004590599	0.014468145	0.006175082	0.004071204	0.003638184	0.006332915	0.013462621	0.000887556	0.005596133	0.002996349	0.007433047	0.005494011	0.012590935	0	0.009933038	0.008076738	0.007125258	0.0060894
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__	0.013610596	0.00883031	0.001079539	0.006811239	0.002120582	0.006027104	0.012819032	0.025858714	0.006538322	0.013701707	0.006102139	0.001501338	0.023029306	0.008538899	0.011638905	0.011859499	0.046018327	0.013059533	0.032685557	0	0.013291254	0.033073618	0.014350403	0.020409529
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__	7.84E-05	4.35E-05	0.000115665	2.50E-05	2.08E-05	0	8.66E-05	0.001202731	0.00072648	0.000140386	3.85E-05	2.73E-05	0.000692611	0	0.000367821	2.52E-05	0.00173068	0.000180131	0.000559597	0	0.000708058	0.000891472	0.000133182	0.000669165
k__Bacteria;p__Actinobacteria;Other;Other;Other	0.000208992	8.70E-05	0.000115665	7.51E-05	8.32E-05	0	0.000144358	0.000176872	0	2.81E-05	0.000134748	5.46E-05	0.000432882	0	5.25E-05	2.52E-05	0.000266258	0	5.09E-05	3.08E-05	0.000303453	0.000231783	0.00029966	0.000133833
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;Other	5.22E-05	2.17E-05	3.86E-05	2.50E-05	0	0	0	0	0	5.62E-05	0	8.19E-05	4.33E-05	0	5.25E-05	2.52E-05	0	0	2.54E-05	0	8.09E-05	5.35E-05	0.000133182	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	0.010736958	0.002718692	0.006592898	0.00626033	0.002453222	0.002175464	0.004879316	0.005306166	0.005811842	0.007496631	0.004446669	0.003739695	0.00874421	0.007773765	0.002443382	0.005615007	0.00270696	0.00360263	0.0035102	0.003357876	0.006736663	0.002674417	0.006592528	0.003412741
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33E-05	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111	0.001149455	0.000717735	0.001002429	0.000125207	0.00024948	7.13E-05	0.000404204	7.07E-05	0.002179441	0.000280773	0.000346494	5.46E-05	0.000606034	3.06E-05	0.001103463	0.000176256	0.001087222	0.000180131	0.000763087	3.08E-05	0.000768748	0.000837984	0.001797962	0.000535332
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017	0.001253951	0.000717735	0.000867487	0.000726198	0.00016632	0.00032097	0.002021019	0.001556475	0.00072648	0.0012354	0.001058731	0.001119179	0.00164495	0.000214238	0.002023015	0.000906459	0.00197475	0.001170855	0.002238388	3.08E-05	0.004248346	0.001872092	0.002264101	0.001070664
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae	0	2.17E-05	0.000134942	0	0	0	2.89E-05	0	0.00036324	0	9.62E-05	0	0	0	7.88E-05	5.04E-05	0	9.01E-05	0	0	0.000182072	0	3.33E-05	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__JdFBGBact	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	0	0	0	0	0	0	0	0	0.00036324	2.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ntu14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.000182868	8.70E-05	1.93E-05	0.000250413	2.08E-05	0.000142653	8.66E-05	0.000106123	0	0.000196541	0.000384993	0	0.000216441	3.06E-05	2.63E-05	0.000100718	0.000110941	0.000180131	0.000178054	0.000462093	0.000182072	8.91E-05	0.000166478	0.000200749
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44E-05	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other	0.001097207	0.000891731	0.001272314	0.002103471	0.001143451	0.00256776	0.00135697	0.001804096	0.002542681	0.0012354	0.001578471	0.000846208	0.000692611	0.000520291	0.00044664	0.00125897	0.001042845	0.00126092	0.001653355	0.002218046	0.003823512	0.000231783	0.00113205	0.001605996
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.001018835	0.000152247	0.00198558	0.000425702	0.002037422	0.00224679	0.003637833	0.000212247	0.007628042	0.001488095	0.004735414	0.004449419	0.000129865	0.000306054	0.000262729	0.003323681	0.00048814	0.003782761	0.00134812	0.000154031	0.002205094	0.000748837	0.002164214	0.000736081
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1	0	0	0	0	6.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae	0	0	0	0	0	0	0.000144358	0	0	0	0.000211746	8.19E-05	0	0	0	2.52E-05	0	0.001891381	0	0	6.07E-05	0	3.33E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae	0	0.000130497	0.00046266	0.000826363	0	3.57E-05	2.89E-05	0	0	0.000252695	0.00384993	8.19E-05	0.000216441	0.000183632	0	0.001410047	0.000421576	0.000720526	7.63E-05	0.000338868	0.00089013	5.35E-05	0.000266365	0.001271413
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	0	0	9.64E-05	2.50E-05	0.001538462	0	0	0.000565991	0.00036324	0.000645777	1.92E-05	0	0	3.06E-05	0	0	0	0	0	0	0	1.78E-05	0.000166478	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	5.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae	0	4.35E-05	0.000674712	0	0	0	0.00017323	7.07E-05	0	0.000252695	0.000211746	2.73E-05	4.33E-05	0	2.63E-05	0.000276973	2.22E-05	9.01E-05	0	0	0.000424835	0	0.000133182	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae	0.001645811	0.001935708	0.003277172	0.001352231	0.000561331	0.000463623	0.001183739	0.002440836	0.006175082	0.003650045	0.002579453	0.001856199	0.002900307	0.00119361	0.000289002	0.003424399	0.000732211	0.001801315	0.000432416	0.001386279	0.003297526	0.000909302	0.001631484	0.001605996
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	0.00013062	0.000543738	0.000289162	0.001026694	0.00014553	0.000142653	0.000837279	0.002299338	0.00072648	0.002021563	0.002463955	0.000709723	0.000519458	0.000642713	0.000210183	0.000780562	0	0.000180131	0.00020349	6.16E-05	0.000768748	0.000178294	0.000233069	6.69E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	0.001253951	0.012136239	0.0021398	0.000976611	0.053367983	0.00064194	0.000895023	0.017227352	0.004358881	0.00339735	0.003253191	0.00046405	0.001991256	0.00119361	0.002180653	0.001384867	0.001797244	0.000540394	0.000178054	0.000739349	0.001092432	0.001889921	0.002663648	0.003546574
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	0.001410695	2.17E-05	0.002467517	0.000300496	0	0.00032097	0.001010509	0	0.00145296	0.00154425	0.001944215	0	0.000432882	0.001469058	0.000105092	0.000780562	0.000776587	0.000450329	5.09E-05	3.08E-05	0.000222532	0.000106977	0.002597057	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.00013062	0.00184871	0.007788102	0.000150248	0.004158004	7.13E-05	5.77E-05	0.000778238	0.00145296	0.001965409	0.001020231	0.000709723	0.000389594	0.000153027	5.25E-05	0.000151076	0.000310635	9.01E-05	7.63E-05	3.08E-05	0.000404604	8.91E-05	0.000732503	0.000535332
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.000208992	0.000326243	0.003778386	0.000100165	0.000686071	7.13E-05	0.000866151	0.000176872	0.005448602	0.002414645	0.024427804	0.003630507	0.001255357	0.000122421	0.000656823	0.00168702	0.000355011	0.000720526	0.000127181	0.000123225	0.002569238	0.000267442	0.004594793	0.001070664
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	0.000862091	6.52E-05	0.006997725	5.01E-05	0.00029106	0.000891583	0.000635177	0	0.005811842	0.003958895	0.001135729	0.000245673	0.000735899	0.000244843	0.000394094	0.007427924	0.000155317	0.001441052	0	0	0.003196375	0.000231783	0.004128654	0.000669165
