Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
k__Bacteria;p__AD3;Other	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	2.54E-05	0	2.02E-05	0	3.33E-05	0
k__Bacteria;p__AD3;c__	2.61E-05	8.70E-05	0	2.50E-05	0	0	0	0	0	0	1.92E-05	2.73E-05	0.000389594	0	5.25E-05	2.52E-05	0.000155317	0	5.09E-05	0	8.09E-05	0.000106977	0	6.69E-05
k__Bacteria;p__AD3;c__ABS-6	0.009274014	0.005763626	0.000578324	0.003255371	0.000873181	0.005527817	0.008488278	0.003537444	0.00108972	0.002246181	0.004138674	0.012229077	0.018354184	0.006488339	0.005832589	0.00548911	0.013823249	0.002431775	0.007325635	0.000338868	0.011207542	0.004938756	0.004395019	0.004416488
k__Bacteria;p__AD3;c__JG37-AG-4	0.005851773	0.002609944	0.000539769	0.016702559	0.000852391	0.00353067	0.009354429	0.007534755	0.00036324	0.005783917	0.008007854	0.005923459	0.006276785	0.011232172	0.001865378	0.003046708	0.016618962	0.006034405	0.01208221	0.002310465	0.006878275	0.002941858	0.003063195	0.006223233
k__Bacteria;p__Acidobacteria;Other	5.22E-05	6.52E-05	0	2.50E-05	0	0	0	7.07E-05	0	0	0	2.73E-05	4.33E-05	0	0.000105092	2.52E-05	8.88E-05	0	5.09E-05	0	2.02E-05	1.78E-05	0	6.69E-05
k__Bacteria;p__Acidobacteria;c__	0	0	7.71E-05	0	0	0	0	0	0.00072648	0	0	0	0.000129865	0	0.000893279	0	0	0	0	0	0.000141612	0.000124806	0.000133182	0
k__Bacteria;p__Acidobacteria;c__AT-s54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000315275	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	2.61E-05	0	0.000424105	2.50E-05	4.16E-05	0.00010699	0.000288717	3.54E-05	0.00072648	5.62E-05	7.70E-05	5.46E-05	8.66E-05	0.000122421	0.000656823	0.000100718	0.000221882	9.01E-05	7.63E-05	0	0.00093059	0.000124806	0.000998868	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.005851773	0.006394363	0.027181247	0.002429008	0.007068607	0.00331669	0.007622127	0.003855814	0.021431166	0.005615454	0.004061676	0.008762352	0.012986451	0.00244843	0.022148074	0.011456628	0.013379485	0.007655589	0.006944091	0.000215643	0.022313933	0.009057357	0.020476793	0.009569058
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	0.015178035	0.047609726	0.007961599	0.030274954	0.038752599	0.038908702	0.047955884	0.023382504	0.021431166	0.014066712	0.034957362	0.084184091	0.038136877	0.037032503	0.020834428	0.030316002	0.047305243	0.086012789	0.059775144	0.025476726	0.043474743	0.034999198	0.015715522	0.060224839
k__Bacteria;p__Acidobacteria;c__BPC102	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0.000519458	0	0	0	0.000155317	9.01E-05	0	0	2.02E-05	0.001051937	0	0.000200749
k__Bacteria;p__Acidobacteria;c__DA052	0.002429531	0.001913959	0.001908471	0.003180247	0.000893971	0.004386591	0.013107749	0.002794581	0.010533963	0.001965409	0.00494716	0.018370912	0.002900307	0.003611434	0.00493931	0.00548911	0.010983159	0.013780059	0.006944091	0.000369674	0.012502276	0.003619377	0.004661384	0.01010439
k__Bacteria;p__Acidobacteria;c__EC1113	0	4.35E-05	1.93E-05	0	0	0.000249643	0.000144358	0.000389119	0	0	3.85E-05	0.000109188	4.33E-05	0	0.000105092	7.55E-05	0.000177506	9.01E-05	0.000101745	0	0.000121381	7.13E-05	6.66E-05	0.000133833
k__Bacteria;p__Acidobacteria;c__Holophagae	2.61E-05	4.35E-05	0	0	0	0	0	0.000106123	0	5.62E-05	0	0	0.000432882	0	0.000105092	0	0.00419357	9.01E-05	7.63E-05	0	6.07E-05	3.57E-05	3.33E-05	0.000133833
k__Bacteria;p__Acidobacteria;c__PAUC37f	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	6.12E-05	0.00018391	0	0	0	0	0	0	5.35E-05	0	0
k__Bacteria;p__Acidobacteria;c__RB25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000893279	0	0	0	0	0	0	1.78E-05	6.66E-05	0
k__Bacteria;p__Acidobacteria;c__S035	5.22E-05	0	0	0	6.24E-05	0.000178317	0	0	0	0.000365004	1.92E-05	0	8.66E-05	0	0.00044664	0	0	9.01E-05	0	0	4.05E-05	7.13E-05	0.000366252	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.029781342	0.037974684	0.010602614	0.052085942	0.032869023	0.036626248	0.025551449	0.062011391	0.012350163	0.024764151	0.04107875	0.033930229	0.03004199	0.030146294	0.024118543	0.030769231	0.028733719	0.03368459	0.032914483	0.068821047	0.033501244	0.048656551	0.020410202	0.033391328
k__Bacteria;p__Acidobacteria;c__Sva0725	0.000365736	0.002044456	0.001156649	0	0.00033264	0.000142653	0.002944913	0	0.002179441	0.001375786	0.00165547	0.000545941	0.002034544	0.000153027	0.003310388	0.002266146	0.00086534	0.000810592	0.000712214	0	0.004066274	0.001212402	0.003163082	0.001539079
k__Bacteria;p__Acidobacteria;c__TM1	5.22E-05	0.001239723	3.86E-05	0.000175289	8.32E-05	0.00010699	0.00034646	0	0	0	1.92E-05	0.000409456	4.33E-05	0	0.000262729	7.55E-05	0.002152255	0.000720526	0.001246375	0	0.000667597	7.13E-05	0.000233069	0.001003747
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.060032916	0.006568359	0.101110383	0.012094957	0.004615385	0.044365193	0.032596143	0.012345679	0.081002543	0.046215184	0.025024543	0.020117923	0.023981646	0.039174879	0.068519784	0.066599522	0.021167543	0.024497883	0.019814824	0.055759219	0.035200583	0.029293776	0.074881801	0.028038009
k__Bacteria;p__Acidobacteria;c__iii1-8	0.019383996	0.011309757	0.003662721	0.008864627	0.002765073	0.008273894	0.017496247	0.041529591	0.013439884	0.017913297	0.009778822	0.007861549	0.037184537	0.009426455	0.017629131	0.014881027	0.055182054	0.018733676	0.045836089	0	0.02393235	0.042059657	0.021608843	0.027235011
k__Bacteria;p__Actinobacteria;Other	0.000208992	8.70E-05	0.000115665	7.51E-05	8.32E-05	0	0.000144358	0.000176872	0	2.81E-05	0.000134748	5.46E-05	0.000432882	0	5.25E-05	2.52E-05	0.000266258	0	5.09E-05	3.08E-05	0.000303453	0.000231783	0.00029966	0.000133833
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.013192612	0.00419766	0.008655589	0.007136776	0.002869023	0.00256776	0.00733341	0.00693339	0.009444243	0.009097035	0.005948141	0.00499536	0.011038483	0.008018608	0.005701224	0.006773259	0.005768932	0.005043682	0.006537111	0.003419488	0.012016751	0.00543798	0.010854365	0.005018737
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.014263695	0.029905607	0.063827736	0.028021235	0.068378378	0.023858773	0.018477884	0.033216598	0.054849255	0.041105121	0.06631504	0.019435497	0.020735033	0.012180939	0.007067416	0.035704394	0.013157603	0.026299198	0.009614895	0.031145066	0.032611114	0.007755808	0.033262303	0.023286938
k__Bacteria;p__Actinobacteria;c__KIST-JJY010	0	0	3.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__MB-A2-108	0.001280075	0.000108748	0.00015422	0	6.24E-05	0.00010699	0.00017323	0.001945594	0.001816201	0.0018531	7.70E-05	0	0.006709666	0.000122421	0.003284115	0	0.00024407	9.01E-05	0.000330671	3.08E-05	0.002043252	0.003958136	0.002397283	0.000267666
k__Bacteria;p__Actinobacteria;c__OPB41	0	0	0	0	0.002785863	0	0	7.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	0.000104496	0	1.93E-05	0.000125207	2.08E-05	7.13E-05	2.89E-05	0	0	0	0	0	0	6.12E-05	0	0	0	0	0	0	0	0	3.33E-05	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.028004911	0.014528688	0.019759417	0.038012721	0.007505198	0.014621969	0.023905763	0.046694259	0.017072285	0.027263028	0.02302258	0.019926844	0.032942297	0.027238783	0.011139719	0.011708423	0.01799463	0.021255517	0.022663682	0.028156865	0.025651919	0.016278282	0.021242592	0.012446467
k__Bacteria;p__Armatimonadetes;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	6.69E-05
k__Bacteria;p__Armatimonadetes;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__0319-6E2	0.000888215	0.000173996	0.000771099	0.000150248	4.16E-05	0.000249643	0.000490819	0.000176872	0.00036324	0.000477314	0.000404243	0.000245673	0.000519458	0.000244843	0.000788188	0.000251794	0.00048814	0.000270197	0.000890268	0	0.00093059	0.000481395	0.000699208	0.001405246
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.001828679	0.006655357	0.001850638	0.011919667	0.011850312	0.009201141	0.002280864	0.007216385	0.003269161	0.002948113	0.003156942	0.005404815	0.002770443	0.006457734	0.001917923	0.004028705	0.002551643	0.006664865	0.007351071	0.018606944	0.000869899	0.001069767	0.001797962	0.003546574
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	0.007706575	0.016181652	0.003489224	0.010317023	0.014781705	0.014978602	0.006698233	0.016130744	0.003632401	0.008395103	0.007507363	0.006032647	0.010908619	0.017689906	0.007487783	0.009643711	0.00911935	0.008105917	0.010454291	0.005083023	0.004733871	0.007470537	0.00642605	0.008163812
k__Bacteria;p__Armatimonadetes;c__OPB50	0.000208992	0.000152247	0.000212052	0.000275454	2.08E-05	0.000392297	2.89E-05	0.000212247	0	0.000168464	0.000115498	0	0.000259729	0.000550897	5.25E-05	0.000176256	8.88E-05	0.000270197	0.000152617	3.08E-05	6.07E-05	7.13E-05	0.000166478	0.000133833
k__Bacteria;p__Armatimonadetes;c__SHA-37	0.002011547	0.000326243	0.000867487	0	2.08E-05	7.13E-05	0.000664049	0.00502317	0	0.000673854	0.000327244	0.000109188	0.000173153	0	0.000814461	0.001838096	2.22E-05	0	7.63E-05	0	0.000323684	0.000142636	0.000765799	0
k__Bacteria;p__Armatimonadetes;c__SJA-176	2.61E-05	0	3.86E-05	0	0	0	0	7.07E-05	0	0	1.92E-05	0	8.66E-05	0	7.88E-05	5.04E-05	8.88E-05	0	0	0	0	3.57E-05	0.000332956	6.69E-05
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.00412759	0.001109226	0.001349424	7.51E-05	0.00012474	0.000998573	0.003464603	0.000459868	0.00145296	0.002274259	0.001289726	0.001692417	0.00212112	0.000673318	0.002075561	0.00423014	0.001952562	0.001621183	0.0017551	0	0.00182072	0.005224027	0.001931145	0.002342077
k__Bacteria;p__BHI80-139;c__	0.000104496	2.17E-05	5.78E-05	0	0	0.00010699	5.77E-05	0	0.00072648	8.42E-05	0	0	0.000303017	3.06E-05	5.25E-05	0.000226615	0	0	0.000127181	0	6.07E-05	0.000178294	0.000233069	0.000267666
k__Bacteria;p__BRC1;c__PRR-11	0.000182868	0.000108748	0.000539769	0	4.16E-05	0	0.000115487	0	0.00108972	0.000140386	1.92E-05	0	0.000173153	0	0.000315275	0.000201435	4.44E-05	9.01E-05	0	0	2.02E-05	0.000124806	0.00053273	6.69E-05
k__Bacteria;p__Bacteroidetes;Other	0.000888215	0.001304972	0.001927748	0.000400661	0.003679834	0.001747504	0.000808407	0.001521101	0.00072648	0.000898473	9.62E-05	0.000491347	0.000259729	0.001775112	0.000394094	0.00128415	0.000887528	0.000450329	0.001093758	0.000431287	0.000849669	0.000213953	0.00029966	0.000334582
k__Bacteria;p__Bacteroidetes;c__At12OctB3	0.00026124	2.17E-05	1.93E-05	2.50E-05	0	0.00021398	0.000461947	0.000353744	0	0.000477314	1.92E-05	0.000218376	8.66E-05	3.06E-05	0.000210183	0.000453229	0	9.01E-05	0	0	0.000182072	8.91E-05	6.66E-05	6.69E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	5.22E-05	0.006568359	0	0.001777934	0.015717256	0.002389444	2.89E-05	0.01545863	0	0.000645777	0.000384993	0	0.000562746	0.000489686	7.88E-05	5.04E-05	0.000266258	0.000450329	0.002009462	0.00129386	4.05E-05	0.000837984	0	0.00133833
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.008777659	0.013876202	0.029436712	0.006711073	0.026756757	0.00374465	0.003118143	0.014079026	0.007628042	0.012803235	0.022599088	0.007288311	0.006103632	0.01264002	0.008512427	0.014604054	0.023009164	0.00297217	0.007249326	0.003665938	0.001699338	0.002264339	0.010088566	0.009301392
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.000417984	0	0.001426534	2.50E-05	0.003617464	3.57E-05	0.00017323	7.07E-05	0.00108972	0.000112309	0.000153997	0.000218376	4.33E-05	0	0.000867006	0.001712199	0.000355011	0	0	3.08E-05	8.09E-05	5.35E-05	0.000499434	0
k__Bacteria;p__Bacteroidetes;c__SM1A07	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.015543771	0.013267215	0.017966611	0.004231983	0.094116424	0.023751783	0.010884629	0.014255899	0.003995641	0.005503145	0.003734432	0.015450128	0.005151292	0.005845626	0.015763754	0.014478157	0.020635026	0.007655589	0.005290736	0.005945596	0.008557383	0.022679052	0.020776453	0.028305675
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	0	0	0.000212052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.100551216	0.072947932	0.179338397	0.039089498	0.14047817	0.036911555	0.062045271	0.114613181	0.082818743	0.090689578	0.080906273	0.08530327	0.041037185	0.066719716	0.097866639	0.15402241	0.038230269	0.036476628	0.032863611	0.055327932	0.036454856	0.042202293	0.096224279	0.044499465
k__Bacteria;p__Chlamydiae;c__Chlamydiia	0.001018835	0.001000478	0.000212052	7.51E-05	0.001205821	0.000356633	0.000606306	0.000778238	0.00036324	0.000477314	0.000577489	0.00046405	0.000822475	0.000887556	0.000867006	0.000931638	0.001131598	0.000540394	0.000635906	0.000924186	0.00093059	0.001123255	0.000932277	0.000869914
k__Bacteria;p__Chlorobi;Other	0	0	0.000173497	0	0	0	0	0	0	2.81E-05	0	0	0	0	2.63E-05	2.52E-05	0	0	0	0	2.02E-05	0	3.33E-05	0
k__Bacteria;p__Chlorobi;c__	0.001541315	0.00139197	1.93E-05	0.000275454	0.003388773	0.00160485	0.001241483	0.001839471	0.00036324	0.000533468	0.000461992	0.000764317	0.001212069	0.003152354	0.001103463	0.000352512	0.001930373	0.000720526	0.000992013	9.24E-05	0.00091036	0.002317828	0.000599321	0.001271413
k__Bacteria;p__Chlorobi;c__BSV26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000945825	0	0	0	0	0	2.02E-05	3.57E-05	3.33E-05	0
k__Bacteria;p__Chlorobi;c__OPB56	0.000235116	0	0.000809654	2.50E-05	0	7.13E-05	0.000144358	7.07E-05	0.00036324	0.000280773	0	5.46E-05	0	0	0.00063055	0.000453229	2.22E-05	9.01E-05	0	0	6.07E-05	1.78E-05	0.000732503	6.69E-05
k__Bacteria;p__Chlorobi;c__SJA-28	0.0006531	0.000152247	0.000925319	0	6.24E-05	3.57E-05	0.000404204	0.00031837	0.00108972	5.62E-05	0.000115498	0.000245673	0.000303017	0	0.002627292	0.000251794	0.000177506	0	2.54E-05	0	0.00095082	0.000980619	0.002130918	0.001405246
k__Bacteria;p__Chloroflexi;Other	0.00373573	0.011570751	0.000963874	0.003380578	0.00024948	0.0010699	0.001472456	0.001450352	0	0.001796945	0.002906697	0.000327565	0.003246613	0.008110424	0.0012611	0.001057535	0.00579112	0.001891381	0.00857201	0.003111426	0.001497036	0.001462014	0.001897849	0.00267666
k__Bacteria;p__Chloroflexi;c__	5.22E-05	0	3.86E-05	0	0	0	0	3.54E-05	0	8.42E-05	0.000115498	2.73E-05	0	3.06E-05	2.63E-05	2.52E-05	2.22E-05	0	0	0	0	7.13E-05	3.33E-05	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.01337548	0.007721084	0.004800093	0.00360595	0.000519751	0.003067047	0.006149671	0.005624536	0.004358881	0.006148922	0.002964446	0.001337555	0.010562313	0.001040583	0.012348274	0.005514289	0.010983159	0.006304602	0.010657781	0.000985798	0.01106593	0.013479059	0.014050742	0.007093148
k__Bacteria;p__Chloroflexi;c__C0119	0.012617884	0.005198138	0.00956163	0.017028096	0.006632017	0.003851641	0.007073565	0.007216385	0.011623683	0.017211366	0.011665287	0.001501338	0.007488853	0.008049213	0.003494299	0.009442276	0.004903592	0.005223813	0.004018925	0.006253658	0.005219397	0.003601548	0.013817673	0.003546574
k__Bacteria;p__Chloroflexi;c__Chloroflexi	0.009195643	0.004284658	0.004048271	0.0155757	0.001060291	0.004208274	0.002627324	0.00597828	0.005448602	0.013505166	0.011549789	0.000191079	0.006103632	0.020383179	0.00359939	0.005237316	0.001996938	0.00846618	0.001653355	0.011521518	0.001901641	0.001836433	0.006492642	0.002743576
k__Bacteria;p__Chloroflexi;c__Ellin6529	0.001724183	0.001217974	0.003026564	0.000225372	0.000623701	0.000142653	0.001125996	0.008242244	0.003632401	0.00154425	0.001058731	0.000218376	0.003203325	3.06E-05	0.002837476	0.000453229	0.000732211	0.000450329	0.000585033	0	0.003884202	0.00319147	0.003928881	0.000468415
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	0.000104496	0.000173996	9.64E-05	0	2.08E-05	0.00010699	0	0.00031837	0.00036324	2.81E-05	1.92E-05	0	0.001038916	0	0.000236456	0	0.000177506	0	0.000228926	0	0.000485525	0.000517054	0.000765799	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	0.053449672	0.035016747	0.01461233	0.112260229	0.007401247	0.216012839	0.14519575	0.025009728	0.018525245	0.025297619	0.143332884	0.167167113	0.02601619	0.060384404	0.009037886	0.080246758	0.0372318	0.164279924	0.080785471	0.293120976	0.040399749	0.139283613	0.022707598	0.042960385
k__Bacteria;p__Chloroflexi;c__P2-11E	0.001593563	0.000500239	5.78E-05	0.000776281	8.32E-05	0.00010699	0.001039381	0.000778238	0	0.001207323	0.000250245	0	0.003982512	0.000765134	0.000788188	5.04E-05	0.002551643	9.01E-05	0.001449865	0	0.001132892	0.002299998	0.002397283	0.001271413
k__Bacteria;p__Chloroflexi;c__S085	0.00013062	0.000739484	0.000443382	0	0	7.13E-05	0.000259845	0.000106123	0.00036324	0.000196541	5.77E-05	0.000109188	0.001212069	0	0.001156009	0.000100718	0.000887528	0.000450329	0.001068322	0	0.002124173	0.001533332	0.000632616	0.000669165
k__Bacteria;p__Chloroflexi;c__SAR202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__SHA-26	0.000182868	0.000173996	3.86E-05	0.000225372	2.08E-05	0.000142653	0.000115487	0.000247621	0	0	0.000115498	8.19E-05	0.000129865	9.18E-05	7.88E-05	0.000125897	0.000177506	0	0.000381543	0.000123225	0.000121381	0.000124806	9.99E-05	0.000133833
k__Bacteria;p__Chloroflexi;c__TK10	0.004258209	0.002392449	0.003720554	0.013772725	0.000540541	0.004957204	0.007073565	0.001556475	0.004722121	0.004548518	0.006756627	0.012065295	0.004675122	0.006243496	0.002128107	0.003726552	0.00468171	0.007385391	0.006486239	0.026185268	0.010802937	0.003405424	0.007458214	0.005018737
k__Bacteria;p__Chloroflexi;c__TK17	0.000365736	0.000391492	3.86E-05	0.005909751	0.00031185	0.000142653	0.000202102	0.008348367	0	0.00030885	0.000327244	0.000245673	0.00047617	0.000306054	0.000499186	0.000201435	0.000798775	0.000180131	0.000534161	0.006993007	0.000768748	0.000481395	0.000133182	0.000869914
k__Bacteria;p__Chloroflexi;c__Thermomicrobia	0.001750307	0.003545174	0.004202491	0.012270246	0.001912682	0.00203281	0.001125996	0.004669426	0.002542681	0.002611186	0.002810449	0.001091882	0.003116748	0.003213564	0.00063055	0.00211507	0.001619739	0.004323156	0.001856845	0.012753766	0.002144403	0.000891472	0.00136512	0.001405246
k__Bacteria;p__Cyanobacteria;Other	0.004388829	0.062116664	1.93E-05	0.002153553	4.16E-05	0.00235378	0.001934404	3.54E-05	0	0.001066936	0.000500491	0	0.002207697	0.001591479	0.004965582	0.000377691	0.004859216	0.001801315	0.006460803	0.000616124	2.02E-05	0.00032093	0.000799094	0.000869914
k__Bacteria;p__Cyanobacteria;c__	0.001776431	0.001130976	0.001079539	0.001252066	0.00010395	0	0.000230974	3.54E-05	0.00036324	0.028723046	0.00111648	0	0.0040258	0.000581502	0.000315275	0.004985522	0.001153786	9.01E-05	0.000356107	0	4.05E-05	0.000142636	0.000898981	0.001204497
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.00039186	0.001500718	0.000289162	7.51E-05	0.00014553	0.00117689	0.000577434	7.07E-05	0.00108972	0.000112309	0.000423492	0.000436753	0.00259729	0.000826345	0.0012611	0.000352512	0.005569238	0.001080789	0.003383019	0	0.001739799	0.00319147	0.00136512	0.005219486
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0	4.35E-05	0.000115665	0	2.08E-05	3.57E-05	2.89E-05	0	0	0.000673854	1.92E-05	2.73E-05	8.66E-05	3.06E-05	0.000105092	0	0.000110941	0.000270197	0	0.000123225	0	0	6.66E-05	0.000133833
k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267666
k__Bacteria;p__Cyanobacteria;c__ML635J-21	0.000914339	0.000500239	0.000443382	0.003330495	0.002972973	0.00117689	0.000866151	0.002405462	0.001816201	0.001460018	0.001289726	0.000300268	0.001601662	0.001713901	0.001024644	0.001812917	0.001065034	0.000270197	0.001246375	9.24E-05	0.000748518	0.001087596	0.001065459	0.001672912
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	0.007837195	0	0.014361723	0.00152752	0.00010395	0.000998573	0.000433075	0	0	0.000336927	1.92E-05	2.73E-05	0.000389594	0.001928139	5.25E-05	0.002442402	0.001442233	0.024407818	0.000661342	0.008440898	2.02E-05	0.000463566	0.001098755	0.024156852
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	0.055853079	0.105702727	0.010911054	0.086868333	0.002515593	0.037161198	0.02624437	7.07E-05	0.00036324	0.109725966	0.006082889	5.46E-05	0.024630968	0.067821509	0.05869371	0.002744555	0.044709224	0.007745654	0.02416442	0.000154031	4.05E-05	0.00192558	0.00446161	0.006758565
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	0.004179838	0.050611162	0.001561476	0.002078429	0.00012474	3.57E-05	0.007044693	0	0.00036324	0.007019317	0.000943233	2.73E-05	0.016536081	0.007528922	0.012453366	0.001208611	0.040493466	0.000540394	0.02045073	3.08E-05	8.09E-05	0.000927131	0.003229673	0.003881156
k__Bacteria;p__Elusimicrobia;Other	2.61E-05	0	0	0	0	0	0	0	0.00036324	0	0	0	4.33E-05	0	7.88E-05	0	0	0	0	0	0	8.91E-05	3.33E-05	0
k__Bacteria;p__Elusimicrobia;c__	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000289002	0	4.44E-05	0	2.54E-05	0	4.05E-05	0	0	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.007445336	0.007568837	0.001600031	0.003155206	0.003721414	0.004101284	0.006120799	0.01354841	0.00108972	0.008002022	0.004581416	0.002211061	0.006796243	0.001928139	0.007067416	0.004758907	0.005480485	0.005403945	0.005316172	0.001571116	0.004693411	0.006917824	0.004927749	0.007093148
k__Bacteria;p__Elusimicrobia;c__Endomicrobia	0	0	0	0	0	0	2.89E-05	0	0	0	0	0	4.33E-05	0	0.000236456	0	0	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__FBP;c__	0.007001228	0.003023185	0.01170143	0.006786197	0.002016632	0.006562054	0.002598452	0.004952421	0.00145296	0.004604672	0.003888429	0.002183764	0.004328817	0.004621412	0.002653565	0.005539469	0.002396326	0.005133748	0.001780536	0.004466899	0.002002792	0.001675968	0.005094227	0.003680407
k__Bacteria;p__FCPU426;c__	0	2.17E-05	0	0	4.16E-05	0	0	0	0	0	0	2.73E-05	8.66E-05	0.000183632	0.000105092	0	0.001442233	0.000270197	0.000763087	0	0.000182072	7.13E-05	0	0.000401499
k__Bacteria;p__Fibrobacteres;c__	0	0	0	0	0	0	0	0.000141498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
