Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
k__Bacteria;p__BRC1	0.000182868	0.000108748	0.000539769	0	4.16E-05	0	0.000115487	0	0.00108972	0.000140386	1.92E-05	0	0.000173153	0	0.000315275	0.000201435	4.44E-05	9.01E-05	0	0	2.02E-05	0.000124806	0.00053273	6.69E-05
k__Bacteria;p__Bacteroidetes	0.126492333	0.107986428	0.230327332	0.052261231	0.284365904	0.068794579	0.077520499	0.160352329	0.096258627	0.111129829	0.107894281	0.108969809	0.053244448	0.087531371	0.123692922	0.186604557	0.083383257	0.048095109	0.048506893	0.066695419	0.0478647	0.068340257	0.127954984	0.08384636
k__Bacteria;p__Chlamydiae	0.001018835	0.001000478	0.000212052	7.51E-05	0.001205821	0.000356633	0.000606306	0.000778238	0.00036324	0.000477314	0.000577489	0.00046405	0.000822475	0.000887556	0.000867006	0.000931638	0.001131598	0.000540394	0.000635906	0.000924186	0.00093059	0.001123255	0.000932277	0.000869914
k__Bacteria;p__Chlorobi	0.002429531	0.001544217	0.001927748	0.000300496	0.003451143	0.00171184	0.001790045	0.00222859	0.001816201	0.000898473	0.000577489	0.001064585	0.001515086	0.003152354	0.005333403	0.001082714	0.002130067	0.000810592	0.001017449	9.24E-05	0.001962331	0.003351935	0.003529333	0.002743576
k__Bacteria;p__Chloroflexi	0.102536639	0.072926182	0.045649073	0.1850303	0.019376299	0.235912981	0.173461139	0.06958152	0.051580094	0.074488994	0.183930393	0.184364252	0.071252327	0.108649079	0.038122011	0.108296613	0.072555415	0.199045303	0.118278476	0.361048643	0.081548016	0.172178936	0.075780782	0.068857066
k__Bacteria;p__Cyanobacteria	0.075341571	0.221605985	0.028781278	0.097285521	0.006029106	0.042938659	0.037359972	0.002617708	0.003995641	0.149118374	0.01039481	0.000873505	0.052075668	0.082022403	0.078871315	0.01392421	0.099403137	0.036206431	0.056722796	0.009457503	0.002690619	0.008058908	0.012985283	0.044164882
k__Bacteria;p__Elusimicrobia	0.00747146	0.007612336	0.001600031	0.003155206	0.003721414	0.004101284	0.006149671	0.01354841	0.00145296	0.008002022	0.004581416	0.002211061	0.006882819	0.001928139	0.007671694	0.004758907	0.005524862	0.005403945	0.005341609	0.001571116	0.004733871	0.007024801	0.004961044	0.007093148
k__Bacteria;p__FBP	0.007001228	0.003023185	0.01170143	0.006786197	0.002016632	0.006562054	0.002598452	0.004952421	0.00145296	0.004604672	0.003888429	0.002183764	0.004328817	0.004621412	0.002653565	0.005539469	0.002396326	0.005133748	0.001780536	0.004466899	0.002002792	0.001675968	0.005094227	0.003680407
k__Bacteria;p__FCPU426	0	2.17E-05	0	0	4.16E-05	0	0	0	0	0	0	2.73E-05	8.66E-05	0.000183632	0.000105092	0	0.001442233	0.000270197	0.000763087	0	0.000182072	7.13E-05	0	0.000401499
k__Bacteria;p__Fibrobacteres	0.000626976	8.70E-05	0.00046266	2.50E-05	8.32E-05	3.57E-05	5.77E-05	0.000247621	0.00108972	0.000224618	1.92E-05	0.000136485	0.000779187	0	0.000157638	0.004179781	0.001175975	9.01E-05	0	0	0.000182072	0.000249612	0.001764667	0.001204497
k__Bacteria;p__Firmicutes	0.00256015	0.004763148	0.003296449	0.003856363	0.003014553	0.00032097	0.000981638	0.0078885	0.00072648	0.00297619	0.002309958	0.001992684	0.003463054	0.005172308	0.001471284	0.000881279	0.003927311	0.001080789	0.001933154	0.001170636	0.000505755	0.002335657	0.001731371	0.001539079
k__Bacteria;p__GAL15	0	0	0	0	0	0	5.77E-05	0	0	0	0	0.000136485	0	0	0	0	0	0	0	0	2.02E-05	0	0	0
k__Bacteria;p__GN02	0.000862091	0.000152247	9.64E-05	0	0.000935551	0.000463623	0.000866151	0.000813612	0.00036324	0.000280773	9.62E-05	0	0.001038916	6.12E-05	0.000972098	0.000679844	0.000199694	0.000180131	0.000813959	0	0.000364144	0.001961239	0.000599321	0.000802998
k__Bacteria;p__Gemmatimonadetes	0.035136759	0.044216799	0.017465397	0.05281214	0.09018711	0.008273894	0.036580437	0.084261912	0.056665456	0.040010108	0.026699263	0.014494732	0.065884594	0.033727122	0.049471914	0.032783583	0.052852293	0.01990453	0.039934883	0.005206247	0.036616698	0.040455007	0.051474995	0.030714668
k__Bacteria;p__Kazan-3B-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__MVP-21	7.84E-05	2.17E-05	3.86E-05	5.01E-05	0	0.000249643	0.000866151	0.00095511	0	0.001375786	0.000115498	2.73E-05	0.000129865	0.000153027	0.000105092	0.000125897	0	0.000540394	7.63E-05	6.16E-05	0.000121381	0.000142636	9.99E-05	0
k__Bacteria;p__NKB19	0	0	1.93E-05	0	0	0	0	0	0.00036324	0	0	0	0	0	0.000105092	0	0	0	0	0	0	0	3.33E-05	0
k__Bacteria;p__Nitrospirae	0.004989681	0.000674236	0.001619308	0.000225372	0.000602911	0.001462197	0.004301882	0.000601365	0.004722121	0.002049641	0.005370652	0.001883496	0.003636206	0.00125482	0.012427093	0.000881279	0.002817901	0.001801315	0.003586509	0	0.007889786	0.00543798	0.005427183	0.001739829
k__Bacteria;p__OD1	0.004232085	0.00187046	0.001426534	0.001051735	0.005883576	0.002924394	0.002540709	0.003678942	0.00036324	0.001572327	0.001020231	0.000245673	0.003160036	0.002295403	0.003100205	0.002266146	0.001553174	0.001350986	0.002925167	0.000184837	0.002832231	0.016278282	0.00249717	0.008297645
k__Bacteria;p__OP11	0	2.17E-05	5.78E-05	2.50E-05	0.00037422	7.13E-05	0	0.000282996	0	5.62E-05	1.92E-05	0	0.000346305	0	0.000210183	7.55E-05	0.000110941	0	5.09E-05	0	0.000161842	0.000356589	9.99E-05	0.000535332
k__Bacteria;p__OP3	0	0.000108748	0.000115665	0	4.16E-05	0	2.89E-05	0	0.00036324	0	0	0	0	0	0.002942567	2.52E-05	6.66E-05	0	2.54E-05	0	0.000242763	0.000463566	0.000566025	0.00113758
k__Bacteria;p__OctSpA1-106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__Planctomycetes	0.049295959	0.041237113	0.034930794	0.029999499	0.042245322	0.058380884	0.056559649	0.04160034	0.068652379	0.049079066	0.045717916	0.059534858	0.061166183	0.055671176	0.064500026	0.060203953	0.050988484	0.060434117	0.053466958	0.041157081	0.066415812	0.061083674	0.069521209	0.045770878
k__Bacteria;p__Proteobacteria	0.13401604	0.199921702	0.194914601	0.161391296	0.273700624	0.122467903	0.160035801	0.230393718	0.3577915	0.197327044	0.185528114	0.156302888	0.214536167	0.2203893	0.189217592	0.176457258	0.245867448	0.18067189	0.240474131	0.123070762	0.257146325	0.187333963	0.207165213	0.271747859
k__Bacteria;p__SR1	0.00026124	0	0.00023133	0	2.08E-05	0	0	0	0	0.000168464	0	0	0	0	0	2.52E-05	0	0	0	0	0	0	6.66E-05	0
k__Bacteria;p__Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM6	0.000365736	0.001261473	0.00015422	2.50E-05	0.001060291	7.13E-05	0.00034646	7.07E-05	0.00036324	0.000168464	0.000250245	0.000382159	0.000389594	0.000214238	0.001050917	0.000201435	0.001042845	0.000270197	0.00040698	3.08E-05	0.000465295	0.000748837	0.000632616	0.000669165
k__Bacteria;p__TM7	0.001384571	0.001370221	0.000501214	0.000876446	0.023991684	0.00064194	0.001270355	0.003891188	0.00145296	0.000954627	0.00163622	0.000382159	0.001774815	0.001866928	0.000945825	0.001435226	0.000155317	0.001080789	0.000432416	0.000554512	0.00093059	0.001622479	0.001398415	0.00113758
k__Bacteria;p__Tenericutes	0	2.17E-05	0.00015422	0	0	0	8.66E-05	0	0.002905921	5.62E-05	0.000577489	2.73E-05	4.33E-05	9.18E-05	0	0.001133073	0	0.000360263	0	0	0.000262993	5.35E-05	0.001298528	6.69E-05
k__Bacteria;p__Verrucomicrobia	0.162856919	0.052916612	0.141882253	0.063554866	0.023534304	0.176426534	0.137948955	0.059004563	0.075553941	0.107255166	0.113264933	0.158322869	0.137483226	0.060139561	0.184541012	0.119274833	0.067696199	0.102584887	0.103372844	0.039647577	0.1747891	0.173373509	0.14803223	0.132561563
k__Bacteria;p__WPS-2	0.031035294	0.018073861	0.001002429	0.067235939	0.004178794	0.032952924	0.042903338	0.014715766	0.003269161	0.008928571	0.021001367	0.038516133	0.030994329	0.086919263	0.001550102	0.014931386	0.01577581	0.047104386	0.036653609	0.062505776	0.016184176	0.006044181	0.006059799	0.02609743
k__Bacteria;p__WS2	0	0	0.000134942	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	2.22E-05	0	0	0	2.02E-05	1.78E-05	6.66E-05	0
k__Bacteria;p__WS3	0	0	9.64E-05	0	0	0	5.77E-05	7.07E-05	0.002179441	2.81E-05	5.77E-05	0	0.001904679	0	0.005911408	0	4.44E-05	0.000270197	7.63E-05	0	0.000485525	0.001372867	0.001731371	0
k__Bacteria;p__WS5	0	0	0	0	4.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__ZB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi]	0.000208992	0.00091348	0.000289162	0.000976611	6.24E-05	3.57E-05	5.77E-05	0.000389119	0	0.000842318	0.000192496	0.000109188	0.000216441	0.001499663	0.000472913	0.000151076	0.001065034	0.000270197	0.000356107	0.000770155	4.05E-05	0.000106977	9.99E-05	0.000133833
