Taxon	V1	V2	V3	V4	V5	V6	V7	V8	B1	B2	B3	B4	B5	B6	B7	B8
k__Bacteria;p__Acidobacteria;c__TM1;o__	0.00056338	0	0.000492958	0	0.000352113	0.000140845	0.000140845	0.000140845	0.000352113	7.04E-05	7.04E-05	7.04E-05	0.000422535	7.04E-05	0.000352113	7.04E-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24	0	0	0	0	0	0	0	0	0	0	0	0	0.000140845	0	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246	0.000211268	0.000140845	0.000140845	7.04E-05	0	0.000422535	0.000140845	0.000211268	7.04E-05	0	0	0	7.04E-05	0	7.04E-05	7.04E-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.000352113	0.002323944	0.005070423	0.000704225	0.012394366	0.001760563	0.006267606	0.003380282	0.014577465	0.013521127	0.009014085	0.002957746	0.005704225	0.00471831	0.003943662	0.005704225
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20	0.001197183	0.000352113	0.000915493	7.04E-05	0.00415493	0.000140845	0.00056338	0.000211268	0.000985915	0.000422535	0.001690141	0.00028169	0.002816901	0.000774648	0.001197183	0.000140845
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	0.000211268	0.001126761	0.002183099	0.002183099	0.007746479	0.005140845	0.001690141	0.000774648	0.003098592	0.000915493	0.003521127	0.000352113	0.000985915	0.00028169	0.000422535	0.00056338
k__Bacteria;p__Actinobacteria;Other;Other	0	0	0	0	7.04E-05	0	7.04E-05	0	7.04E-05	0	0	0	0	0	0	7.04E-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.006056338	0.005422535	0.008450704	0.007746479	0.009577465	0.007605634	0.007042254	0.004295775	0.007957746	0.005985915	0.013450704	0.004014085	0.008098592	0.006197183	0.005915493	0.006690141
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	7.04E-05	0	0	0	0	0	0	0.00028169	0	0	0	0	0	0	0	7.04E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.088661972	0.074577465	0.08971831	0.109788732	0.046549296	0.092394366	0.084014085	0.078169014	0.065140845	0.077957746	0.109366197	0.065633803	0.056478873	0.061056338	0.085211268	0.060352113
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	7.04E-05	7.04E-05	0.000211268	0.000140845	0	0.000211268	0.000352113	0.000140845	0.000140845	0.00056338	0.00028169	0.000352113	0.000211268	0.000422535	7.04E-05	7.04E-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.002605634	0.001830986	0.003098592	0.004225352	0.005140845	0.005352113	0.001901408	0.000211268	0.000985915	0.001549296	0.003239437	0.00056338	0.001338028	0.000915493	0.001267606	0.000774648
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.048732394	0.03915493	0.054577465	0.045422535	0.046408451	0.048450704	0.042253521	0.035070423	0.055140845	0.074014085	0.089859155	0.062676056	0.076901408	0.052605634	0.042112676	0.058873239
k__Bacteria;p__Armatimonadetes;Other;Other	0	0	0	0	0	0.000140845	7.04E-05	0	0	0	0	0	0.000211268	0	0	0
k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__	0	0.000422535	7.04E-05	7.04E-05	0.000352113	0.000140845	0.00028169	0.000211268	0.000140845	0.000704225	0.000140845	0.00028169	7.04E-05	0.000352113	0.000352113	0.000422535
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales	0.000422535	0.000211268	0.000704225	0.00028169	0.000140845	0.000704225	0.000211268	0	0.00056338	0.000140845	0.00028169	0.00028169	0	0.00028169	0.000422535	0.000211268
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68	0.003591549	0.002394366	0.003802817	0.002464789	0.001338028	0.005774648	0.003873239	0.00415493	0.001408451	0.002957746	0.001338028	0.004929577	0.000774648	0.002887324	0.003239437	0.003239437
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales	0.003239437	0.004859155	0.004014085	0.001690141	0.003943662	0.005070423	0.003239437	0.003028169	0.003169014	0.002183099	0.003239437	0.002112676	0.001408451	0.003028169	0.002676056	0.003169014
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22	0.000422535	0.000422535	0.000140845	0.00028169	7.04E-05	0	0.000140845	0.000140845	0.000140845	0.000140845	0.000211268	0.000211268	0.00056338	0	0.000633803	0.000492958
k__Bacteria;p__Armatimonadetes;c__OPB50;o__	0	0.000211268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__SHA-37;o__	0	0	0.000140845	0	0	0	0	0	0	0	0	7.04E-05	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.001619718	0.000633803	0.001408451	0.001901408	0.001971831	0.002253521	0.002183099	0.002253521	0.001901408	0.001126761	0.001056338	0.001408451	0.001267606	0.002112676	0.001830986	0.001408451
k__Bacteria;p__BHI80-139;c__;o__	7.04E-05	0	0.000140845	0.000140845	0	0	7.04E-05	7.04E-05	0.000140845	0	7.04E-05	0	0	0	0	7.04E-05
k__Bacteria;p__BRC1;c__PRR-11;o__	0.000140845	0	0	0	7.04E-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;Other;Other	0.001056338	0.000422535	0.000140845	0.00056338	0.001619718	0.00084507	0.000422535	0.000774648	0.001056338	7.04E-05	0.00056338	0.000633803	0.00028169	0.000915493	0.000352113	0.00056338
k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__	0.000422535	0.000211268	0	7.04E-05	0	0.000352113	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.000140845	0.000140845	0.001619718	0.000915493	0.002746479	0.005422535	0.00084507	0.00056338	0.00028169	0.001126761	0.000211268	0	0.000211268	0.00028169	0.001549296	0.000422535
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.001971831	0.001197183	0.002676056	0.001901408	0.000352113	0.005140845	0.000633803	0.00084507	0.001830986	0.002042254	0.000915493	0.001267606	0.000422535	0.001126761	0.004014085	0.000704225
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.013098592	0.006478873	0.010633803	0.039084507	0.008309859	0.025492958	0.01028169	0.012112676	0.004859155	0.002464789	0.003098592	0.011126761	0.003169014	0.007605634	0.017042254	0.005704225
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.022394366	0.016478873	0.023521127	0.02915493	0.020140845	0.033028169	0.020422535	0.015	0.017042254	0.011408451	0.009295775	0.009788732	0.005774648	0.011971831	0.02528169	0.009859155
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__	7.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	0.000985915	0.001338028	0.000352113	0.000352113	0.000211268	0.001267606	0.00056338	0.00084507	0.000211268	0	0.000140845	0.000211268	0.000211268	0.000422535	0.000774648	0.00028169
k__Bacteria;p__Chlorobi;c__;o__	0.000492958	0.000352113	0.00056338	0.001197183	0.000774648	0.00056338	0.00028169	0.000633803	0.000704225	0.000352113	0.00056338	0.000633803	0.000352113	0.00028169	0.00084507	7.04E-05
k__Bacteria;p__Chlorobi;c__OPB56;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04E-05	0
k__Bacteria;p__Chlorobi;c__SJA-28;o__	0	0	0.000211268	7.04E-05	0.000633803	0	7.04E-05	0	0	0	0.000140845	0	0	0	0	7.04E-05
k__Bacteria;p__Chloroflexi;Other;Other	0.00084507	0.001830986	0.001971831	0.000704225	0.002042254	0.001760563	0.001549296	0.001690141	0.001619718	0.002957746	0.001197183	0.00056338	0.00084507	0.000774648	0.001619718	0.001267606
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A31	0	0	0	0	0.000211268	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004	0	0	0	0	0	0	0	0	0	0	7.04E-05	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	0	0	0	0	0.00028169	0	7.04E-05	0	0.000140845	0.000140845	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031	0	0	0.00028169	0.000352113	0.001056338	7.04E-05	0.000492958	0.000211268	0.000704225	7.04E-05	0.000211268	0.000422535	0	0.000211268	0.000211268	0.000140845
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SHA-20	0	0	0	0	0.000140845	0	0	7.04E-05	7.04E-05	0	0	0	7.04E-05	0	0.00028169	0
k__Bacteria;p__Chloroflexi;c__C0119;o__	0.000774648	0.001126761	0.002323944	0.000140845	0.000915493	0.00056338	0.001690141	0.00056338	0.001549296	0.000422535	0.001619718	0.000774648	0.000422535	0.000704225	0.000915493	0.001197183
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781	0	0.00056338	0.00056338	7.04E-05	0	0.000140845	0	0.00028169	0.000140845	0.000211268	0.00028169	0.000352113	0	0	0	0.00028169
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	0.000140845	0	0.000352113	0	0.001197183	0.000492958	0.00056338	0.00028169	0.000352113	0	0.00028169	0.000211268	0	0	0	0.000140845
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;Other	0.072676056	0.095140845	0.067394366	0.019647887	0.016056338	0.06971831	0.130704225	0.180140845	0.114647887	0.152676056	0.101267606	0.182816901	0.150140845	0.201267606	0.096549296	0.140492958
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__	0.000140845	0.000140845	7.04E-05	0	0.000492958	0.000211268	0	7.04E-05	0.000422535	7.04E-05	0.000211268	0	0	7.04E-05	0.000211268	7.04E-05
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B10-SB3A	0	0	0	0	0	0	0	0	0	7.04E-05	0	0	7.04E-05	0	0	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1	0.001971831	0.003873239	0.006830986	0.001690141	0.002112676	0.002957746	0.004929577	0.001830986	0.007394366	0.005985915	0.005704225	0.004084507	0.00584507	0.00556338	0.002535211	0.00443662
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Elev-1554	0	0.000211268	0	7.04E-05	7.04E-05	0.00028169	0.00056338	0	7.04E-05	0.000140845	0	7.04E-05	0.000140845	0.000352113	0.000211268	0.000211268
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales	0.00471831	0.011901408	0.015985915	0.007394366	0.009366197	0.009788732	0.014014085	0.031126761	0.034225352	0.034084507	0.028169014	0.136056338	0.04584507	0.106830986	0.052183099	0.09028169
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__TK10	0	0	0	0	0	0	0	0	0	0	0	0	0.000140845	0	0	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales	0.019084507	0.045915493	0.034295775	0.011267606	0.044225352	0.020140845	0.03056338	0.030422535	0.071126761	0.063169014	0.037535211	0.024788732	0.10056338	0.044014085	0.083239437	0.03028169
k__Bacteria;p__Chloroflexi;c__S085;o__	0	0	0	0	0.00028169	0	0	0	0	0.000140845	0	0	0	0	7.04E-05	0
k__Bacteria;p__Chloroflexi;c__TK10;Other	0	7.04E-05	0.000140845	0	0	0	0.00056338	0.000140845	0.000352113	0.001549296	0.00056338	0.000633803	0.000492958	0.000704225	0	0.000422535
k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885	0	0.000140845	7.04E-05	0	0.000211268	0	0.000211268	0	0	0	0	0	7.04E-05	0	0	0.000140845
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1	0.005	0.012535211	0.014788732	0.002816901	0.016338028	0.005492958	0.011197183	0.006760563	0.014577465	0.020704225	0.018521127	0.008661972	0.008732394	0.008380282	0.005211268	0.007957746
k__Bacteria;p__Chloroflexi;c__TK17;o__	0.000492958	0.00028169	0.000211268	0.00028169	0.000492958	0.00056338	0.000422535	0.000352113	0.000211268	0.00028169	0.000352113	0	0.000633803	0.000140845	0.00056338	0.00028169
k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48	0	0	0	0	0.000140845	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Ellin6537	0.001619718	0.001267606	0.002816901	0.000492958	0.001408451	0.000774648	0.001760563	0.001690141	0.000985915	0.002183099	0.000704225	0.001056338	0.00056338	0.001338028	0.000633803	0.001408451
k__Bacteria;p__Cyanobacteria;Other;Other	0	0	0	0	0	0	0	0.000140845	0	0	0	0	0	0	7.04E-05	0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;Other	0	0	0	0.000140845	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.00084507	0.000211268	0.000352113	0.00056338	0.000774648	0.000352113	0.00056338	0.000352113	0.000985915	0.000140845	0.000352113	0	0.000492958	0.00028169	0.000352113	0.000140845
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM1D11	0	0.000140845	0	0.001126761	0.000352113	0.000492958	0.000140845	7.04E-05	7.04E-05	0.00028169	0.00028169	0.000140845	0.000140845	7.04E-05	0.000352113	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;Other	0	0	0.002042254	0	0.000140845	0	0.000422535	0.000422535	0	0.000633803	0.000140845	0	0.000140845	0.000140845	0	0.004788732
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__	0	0	0	0	0	0	0	0	0	0	0	0	0.000352113	0	0	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta	7.04E-05	7.04E-05	0.005352113	0.000140845	0.000140845	0.00028169	7.04E-05	0.002042254	0.000633803	0.001690141	7.04E-05	0.001971831	0.00028169	0.000422535	0.000140845	0.003239437
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles	0	0	0	0	0	0	0	0	0.000140845	0.00084507	0	0	0.00028169	0	0.000633803	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.000985915	0.001267606	0.002394366	0.000704225	0.002605634	0.000140845	0.000352113	0.001619718	0.001690141	0.001338028	0.001338028	0.004366197	0.001619718	0.002112676	0.00056338	0.008169014
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__	0	0	0.000140845	0	0.00056338	0.00028169	0	0	0	0.000211268	0.000774648	0	0	0.000140845	0.00028169	0.000492958
k__Bacteria;p__Elusimicrobia;Other;Other	0	0	0	0	0	0	0	0	7.04E-05	0	0	0	0	0	0	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;Other	0.000633803	0.000492958	0.000774648	0.001197183	0.00028169	0.001971831	0.00028169	0.00028169	0.000140845	0.000140845	7.04E-05	0.000422535	0.000140845	0.000140845	0	0.000140845
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	0	7.04E-05	0	0.00028169	0	7.04E-05	0	0.000140845	0.00028169	0	0.000140845	0	0.00028169	0	0	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88	0.003802817	0.003309859	0.003380282	0.001830986	0.002676056	0.00443662	0.003802817	0.004014085	0.005985915	0.003239437	0.001267606	0.002394366	0.001478873	0.002323944	0.000774648	0.000985915
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	0.000422535	7.04E-05	0	0.000211268	0.000140845	0.000422535	0.000140845	0.000211268	0.000492958	0.000140845	7.04E-05	0.000140845	0.000140845	0.000211268	0	0.000140845
k__Bacteria;p__FBP;c__;o__	0.001619718	0.002676056	0.001056338	0.000985915	0.000915493	0.004014085	0.003028169	0.001830986	0.001197183	0.002957746	0.001478873	0.001197183	0.000633803	0.001267606	0.001197183	0.001549296
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10	7.04E-05	0	0	0.00028169	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.000211268	0	7.04E-05	0.000211268	0.000211268	0.000422535	0.000140845	0.000140845	0.00028169	0.000211268	7.04E-05	0.000352113	0.000704225	0.003661972	0	0.000352113
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.000352113	0.001056338	0.000985915	0.000211268	0.000492958	0.001690141	0.000985915	0.001267606	0.00056338	0.000633803	0.000633803	0.000211268	0.00084507	0	0.002746479	0.000915493
k__Bacteria;p__GAL15;c__;o__	0	0	0	0	0.000140845	0	0	0	0	0	0	0	7.04E-05	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__	0.000140845	0	0.00056338	0.000492958	0.001901408	7.04E-05	0.000492958	7.04E-05	7.04E-05	0.000140845	0	0	0	0.000140845	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__	0	0	7.04E-05	0	0.00056338	0	0	7.04E-05	0.00028169	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;Other	0	0	0.000140845	0	0.000422535	0.000140845	0	7.04E-05	0	0.000422535	0.000140845	0	0	0	0.000140845	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	0.002253521	0.003098592	0.00584507	0.005211268	0.003239437	0.004507042	0.003521127	0.001830986	0.001971831	0.00056338	0.002464789	0.001056338	0.000704225	0.001056338	0.000915493	0.001549296
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290	0.005774648	0.005985915	0.006267606	0.011478873	0.007183099	0.011056338	0.006056338	0.004788732	0.004859155	0.005985915	0.00415493	0.003309859	0.004295775	0.002957746	0.005211268	0.002676056
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	0.000774648	0.001619718	0.004295775	0.00471831	0.003591549	0.003873239	0.002887324	0.002676056	0.002887324	0.002183099	0.002183099	0.001338028	0.000704225	0.001056338	0.011619718	0.001971831
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87	0	0	0.000211268	0.000492958	7.04E-05	7.04E-05	0.000422535	7.04E-05	0.000140845	0	7.04E-05	0	0	0.000140845	0.000140845	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL	0.000492958	0.001901408	0.000774648	0.000633803	0.005633803	0.002535211	0.001197183	0.000774648	0.001619718	0.00056338	0.001267606	0.000211268	0.002183099	0.000704225	0.001549296	0.000774648
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	0	0	0.000704225	0	0.00084507	0	0.000211268	0	0	0.000140845	7.04E-05	7.04E-05	0	0	0	0
k__Bacteria;p__OD1;Other;Other	0	0.000140845	0	0.00028169	0	0	0	0	0.00028169	0	0	0	0	0	0	0
k__Bacteria;p__OD1;c__;o__	7.04E-05	0	0	0.000352113	0	0	0	7.04E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__OD1;c__Mb-NB09;o__	0	7.04E-05	0	0.000352113	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__OD1;c__SM2F11;o__	7.04E-05	0	0	0.000211268	0.00056338	0.00028169	0.00028169	0	7.04E-05	0	0	0	0	0	0.000140845	0
k__Bacteria;p__OD1;c__ZB2;o__	0.000140845	0.000211268	0.000211268	0.002112676	0.00028169	0.000492958	0	0.00028169	0	7.04E-05	0	0	0.000140845	0.000211268	0.000140845	7.04E-05
k__Bacteria;p__OP11;c__OP11-1;o__	0	7.04E-05	0	0.00028169	0.000211268	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__OP3;c__koll11;o__	0	0	0	0	0.000352113	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__OP3;c__koll11;o__GIF10	0	0	0	0	0	0	0	0	0	7.04E-05	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes;Other;Other	0	0	0	0	0	0	7.04E-05	0.000140845	0	0	0	0	0	0.000211268	0	0
k__Bacteria;p__Planctomycetes;c__BD7-11;o__	0.000140845	0.00028169	0	0.000422535	0.000985915	0.000140845	0.000211268	0	0.000422535	7.04E-05	0	0.00028169	0.000211268	7.04E-05	7.04E-05	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CPla-3	0.000140845	0.000211268	0.000633803	0.000140845	0.000492958	0.000633803	0.000352113	7.04E-05	0.00028169	0	0.000140845	0.000211268	7.04E-05	0.000140845	0.000352113	0.000492958
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	0	0	0	0	0.000140845	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101	0.013309859	0.008873239	0.008661972	0.008661972	0.015774648	0.018169014	0.01084507	0.008521127	0.007394366	0.004225352	0.006338028	0.007394366	0.004366197	0.008661972	0.005633803	0.006478873
k__Bacteria;p__Planctomycetes;c__Pla4;o__	0	0	0	0	7.04E-05	0	0	0	0	0	0	0.000352113	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__B97	7.04E-05	7.04E-05	7.04E-05	0.000140845	0	0	0.000211268	0.000211268	7.04E-05	0.000211268	0	0.000140845	0	0.000352113	0	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	0.020985915	0.021760563	0.018028169	0.014788732	0.030704225	0.019366197	0.021197183	0.022112676	0.027253521	0.02056338	0.020915493	0.018802817	0.029084507	0.022746479	0.02443662	0.024225352
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	0.000633803	0.00084507	0.000492958	0.000211268	0.001619718	0.00056338	0.000704225	0.000915493	0.000704225	0	0.000633803	7.04E-05	0.001056338	0.000422535	0.001619718	0.000352113
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	0.000211268	0.00028169	0.000352113	0.00028169	0.001971831	0.000352113	0.00028169	0.000211268	0.000492958	0.00028169	0.000352113	0.00028169	0.000352113	7.04E-05	0.000140845	0.000633803
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__DH61	0.000422535	0.000211268	0.00056338	0.000704225	0.001408451	0.000774648	0.000774648	0.000211268	0.000211268	0.00028169	0.000140845	0.00028169	0.000211268	7.04E-05	7.04E-05	0.000774648
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__p04_C01	7.04E-05	0	0.000140845	0.00028169	0.000352113	7.04E-05	0	7.04E-05	7.04E-05	0	7.04E-05	0	7.04E-05	7.04E-05	0.000140845	0
k__Bacteria;p__Proteobacteria;Other;Other	0.000774648	0.000915493	0.000704225	0.002323944	0.001760563	0.000422535	0.000704225	0.000985915	0.00028169	0.000352113	0	0.000352113	7.04E-05	0.000352113	0.000985915	0.000492958
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	0.003309859	0.001549296	0.001197183	0.006267606	0.001126761	0.003028169	0.001549296	0.001619718	0.00028169	7.04E-05	0.000704225	0.000774648	0.000915493	0.00028169	0.000704225	0.001126761
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.000774648	0.000915493	0.000492958	0.000774648	0.000985915	0.001338028	0.00056338	0.000633803	0.000140845	0.00028169	0.000422535	0.000704225	0.000140845	0.00028169	0.00028169	0.000352113
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3	0.00028169	0.000211268	0.000140845	0.000633803	0	0.001267606	0	0.000352113	7.04E-05	0	0	7.04E-05	0.00028169	0.000140845	0	0.000774648
