Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15	S.0.2015	S.30.2015	S.56.2015	S.63.2015	S.65.2015	S.66.2015	S.74.2015	S.95.2015	S.99.2015	S.104.2015	S.106.2015	S.120.2015	S.132.2015	S.139.2015	S.157.2015	S.159.2015			
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114	0	0	3.86E-05	0	0	0	0.00017323	0.001096608	0.00072648	0	0	0	0	0	0.000656823	0	8.88E-05	0	0	0	8.09E-05	1.78E-05	6.66E-05	0.002275161	0.000317965	7.20E-05	0	0	0	0.000359229	0.000211784	0.000169872	0.000136339	0	0	0.000248633	5.70E-05	0	0	3.42E-05			
k__Bacteria;Other;Other;Other	0.013453852	0.018073861	0.006284458	0.03818801	0.011060291	0.016726106	0.015994919	0.018005589	0.003632401	0.010304358	0.020654873	0.011492057	0.012510281	0.022739793	0.003993484	0.010248017	0.015110164	0.015941637	0.023146971	0.020670959	0.007687484	0.008415497	0.006226277	0.015323876	0.004901961	0.026531053	0.002313142	0.02068649	0.017729789	0.006409408	0.006635887	0.006726914	0.007180513	0.013358649	0.011233223	0.00298359	0.003846263	0.013160757	0.014888994	0.007547814			
k__Bacteria;p__;c__;o__	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41E-05	0	4.54E-05	0	0	6.22E-05	0	0	0	0			
k__Bacteria;p__AD3;Other;Other	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	2.54E-05	0	2.02E-05	0	3.33E-05	0	0	2.40E-05	0	3.67E-05	0	0	0	0	0	0	0	0	0	0	1.89E-05	0			
k__Bacteria;p__AD3;c__;o__	2.61E-05	8.70E-05	0	2.50E-05	0	0	0	0	0	0	1.92E-05	2.73E-05	0.000389594	0	5.25E-05	2.52E-05	0.000155317	0	5.09E-05	0	8.09E-05	0.000106977	0	6.69E-05	5.30E-05	7.20E-05	0	0.000422173	0	5.67E-05	1.41E-05	6.79E-05	6.82E-05	0	0	0	0	0	0	3.42E-05			
k__Bacteria;p__AD3;c__ABS-6;o__	0.009274014	0.005763626	0.000578324	0.003255371	0.000873181	0.005527817	0.008488278	0.003537444	0.00108972	0.002246181	0.004138674	0.012229077	0.018354184	0.006488339	0.005832589	0.00548911	0.013823249	0.002431775	0.007325635	0.000338868	0.011207542	0.004938756	0.004395019	0.004416488	0.001563328	0.013505409	0	0.015602056	0.00264326	0.00349776	0.002117836	0.00346538	0.002954008	0.005221401	0.009774363	0.00099453	0.000598308	0.003480531	0.003212093	0.001673497			
k__Bacteria;p__AD3;c__JG37-AG-4;o__	0.005851773	0.002609944	0.000539769	0.016702559	0.000852391	0.00353067	0.009354429	0.007534755	0.00036324	0.005783917	0.008007854	0.005923459	0.006276785	0.011232172	0.001865378	0.003046708	0.016618962	0.006034405	0.01208221	0.002310465	0.006878275	0.002941858	0.003063195	0.006223233	0.000874404	0.016216087	0.002023999	0.011637298	0.000872774	0.002136469	0.001242464	0.002276279	0.004021996	0.005289211	0.007294301	0.000372949	0.000484344	0.006199695	0.005649504	0.003893443			
k__Bacteria;p__Acidobacteria;Other;Other	5.22E-05	6.52E-05	0	2.50E-05	0	0	0	7.07E-05	0	0	0	2.73E-05	4.33E-05	0	0.000105092	2.52E-05	8.88E-05	0	5.09E-05	0	2.02E-05	1.78E-05	0	6.69E-05	0.000132485	2.40E-05	0	0.000128488	0	0.000113441	1.41E-05	6.79E-05	2.27E-05	0.000135621	0	0	8.55E-05	0.000181278	0.000113368	3.42E-05			
k__Bacteria;p__Acidobacteria;c__;o__	0	0	7.71E-05	0	0	0	0	0	0.00072648	0	0	0	0.000129865	0	0.000893279	0	0	0	0	0	0.000141612	0.000124806	0.000133182	0	0.001033386	0	0	1.84E-05	0	0.000359229	0.000437686	0.000577563	9.09E-05	0	0	0.001802586	0.000455853	0	0	6.83E-05			
k__Bacteria;p__Acidobacteria;c__AT-s54;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000315275	0	0	0	0	0	0	0	0	0	0.000211977	0	0	0	0	0.000132348	5.65E-05	0	9.09E-05	0	0	6.22E-05	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	2.61E-05	0	0.000424105	2.50E-05	4.16E-05	0.00010699	0.000288717	3.54E-05	0.00072648	5.62E-05	7.70E-05	5.46E-05	8.66E-05	0.000122421	0.000656823	0.000100718	0.000221882	9.01E-05	7.63E-05	0	0.00093059	0.000124806	0.000998868	0	0.001165872	0.000191906	0.000722857	0.00023862	0	0.00266586	0.000790659	0.001019229	0.000227231	0.000474673	0.000437658	0.001616111	0.001453033	0.000870133	7.56E-05	0.000273224			
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	0	0	3.86E-05	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	2.52E-05	0	0	0	0	0	0	0	0	5.30E-05	0	0	0	0	3.78E-05	7.06E-05	0	0	0	0	6.22E-05	0.000113963	0	0	0			
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__	0	0	1.93E-05	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30E-05	0	0	0	0	1.89E-05	0	3.40E-05	0	6.78E-05	0	0	0.000113963	0	0	0			
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21	0.000104496	0.000326243	0	2.50E-05	8.32E-05	3.57E-05	2.89E-05	0	0.00072648	0.000112309	0	2.73E-05	0.001212069	0	0.001760286	5.04E-05	0.000931904	0.000270197	0.000127181	6.16E-05	0.00095082	0.000570542	0.000665912	0.000334582	0.001881293	4.80E-05	0.000289143	0.000422173	0	0.000718459	0.000804778	0.001155127	0.00079531	0.000135621	4.86E-05	0.003356539	0.000598308	0.000688855	0.000170052	3.42E-05			
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.005747277	0.00606812	0.027123414	0.002403967	0.006985447	0.003281027	0.007593256	0.003855814	0.020704686	0.005503145	0.004042426	0.008735055	0.011774382	0.00244843	0.020361515	0.01138109	0.01244758	0.007385391	0.00681691	0.000154031	0.021363112	0.008486815	0.019810881	0.009234475	0.03736089	0.009475376	0.033974266	0.006846549	0.006508404	0.02541075	0.023225606	0.026771761	0.015838029	0.011053096	0.009579848	0.04388364	0.042508334	0.011202958	0.006348607	0.007035519			
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.015178035	0.047609726	0.007961599	0.030274954	0.038752599	0.038908702	0.047955884	0.023382504	0.021431166	0.014066712	0.034957362	0.084184091	0.038136877	0.037032503	0.020834428	0.030316002	0.047305243	0.086012789	0.059775144	0.025476726	0.043474743	0.034999198	0.015715522	0.060224839	0.01626921	0.066111737	0.032383981	0.057562408	0.031594434	0.042464692	0.01955469	0.048005708	0.030539902	0.036753238	0.082814628	0.01429637	0.019259808	0.092995432	0.073821445	0.11875			
k__Bacteria;p__Acidobacteria;c__BPC102;o__	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0.00047617	0	0	0	0.000155317	9.01E-05	0	0	2.02E-05	0.00096279	0	0.000200749	2.65E-05	0	0	0.000201909	0	0	0	3.40E-05	0	0	0	0.000186474	2.85E-05	0.000108767	0	0			
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40	0	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	0	0	0	0	0	0	0	0	8.91E-05	0	0	2.65E-05	0	0	0	0	1.89E-05	0	6.79E-05	0	0	0	0.000248633	8.55E-05	0	0	0			
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.002429531	0.001913959	0.001908471	0.003180247	0.000893971	0.004386591	0.013107749	0.002794581	0.010533963	0.001965409	0.00494716	0.018370912	0.002900307	0.003611434	0.00493931	0.00548911	0.010983159	0.013780059	0.006944091	0.000369674	0.012502276	0.003619377	0.004661384	0.01010439	0.005219926	0.015064648	0.010987422	0.012206314	7.48E-05	0.011041576	0.007172406	0.012366651	0.005521723	0.009629077	0.02489788	0.00565639	0.006324967	0.020955696	0.0120359	0.018340164			
k__Bacteria;p__Acidobacteria;c__EC1113;o__	0	4.35E-05	1.93E-05	0	0	0.000249643	0.000144358	0.000389119	0	0	3.85E-05	0.000109188	4.33E-05	0	0.000105092	7.55E-05	0.000177506	9.01E-05	0.000101745	0	0.000121381	7.13E-05	6.66E-05	0.000133833	0	0.000167918	0.000433714	1.84E-05	0	0.000226882	0.000141189	0.000169872	6.82E-05	0	9.73E-05	0.000186474	0.000256418	0.000181278	0.000132263	0.000307377			
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales	2.61E-05	4.35E-05	0	0	0	0	0	0.000106123	0	5.62E-05	0	0	0.000432882	0	0.000105092	0	0.00419357	9.01E-05	7.63E-05	0	6.07E-05	3.57E-05	3.33E-05	0.000133833	0	0.000503754	0	3.67E-05	0.000249364	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	6.12E-05	0.00018391	0	0	0	0	0	0	5.35E-05	0	0	2.65E-05	0	0	0	0	3.78E-05	1.41E-05	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__RB25;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000893279	0	0	0	0	0	0	1.78E-05	6.66E-05	0	0.000344462	0	0	0	0	0.000170161	8.47E-05	0.000271795	4.54E-05	0	0	0.000808056	0.000199436	0	0	0			
k__Bacteria;p__Acidobacteria;c__S035;o__	5.22E-05	0	0	0	6.24E-05	0.000178317	0	0	0	0.000365004	1.92E-05	0	8.66E-05	0	0.00044664	0	0	9.01E-05	0	0	4.05E-05	7.13E-05	0.000366252	0	0.000105988	0	0.000144571	1.84E-05	0	0.000718459	8.47E-05	0.00047564	0.000590802	0	0	0.000559423	0.000313399	0	0	0			
k__Bacteria;p__Acidobacteria;c__Solibacteres;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99	0	0.000152247	0	0	0	0	0	0	0	0	0	0	0.000562746	3.06E-05	0.000499186	0	0.000687834	0.00063046	0.000305235	0	0.000121381	0.000427907	0	0.00113758	0	0.002134958	0	0.001872247	0	0.000264695	0.00012707	0.000339743	0.000159062	0	0	0	5.70E-05	0.000616344	5.67E-05	0.001810109			
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.029781342	0.037822437	0.010602614	0.052085942	0.032869023	0.036626248	0.025551449	0.062011391	0.012350163	0.024764151	0.04107875	0.033930229	0.029479243	0.030115688	0.023619358	0.030769231	0.028045885	0.03305413	0.032609249	0.068821047	0.033379863	0.048228645	0.020410202	0.032253747	0.007207207	0.035814523	0.021251988	0.032507342	0.035210214	0.01996559	0.009290242	0.012978188	0.02915379	0.02698854	0.030295662	0.010815515	0.006723838	0.042962802	0.040415683	0.05102459			
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	0.000365736	0.002044456	0.001156649	0	0.00033264	0.000142653	0.002944913	0	0.002179441	0.001375786	0.00165547	0.000545941	0.002034544	0.000153027	0.003310388	0.002266146	0.00086534	0.000810592	0.000712214	0	0.004066274	0.001212402	0.003163082	0.001539079	0.001192369	0.000407801	0.005927425	0.001193098	0	0.000964247	0.00530871	0.001698716	0.003522087	0.005289211	0.000778059	0.001802586	0.000655289	0.001305199	0	0.001878415			
k__Bacteria;p__Acidobacteria;c__TM1;o__	5.22E-05	0.001239723	3.86E-05	0.000175289	8.32E-05	0.00010699	0.00034646	0	0	0	1.92E-05	0.000409456	4.33E-05	0	0.000262729	7.55E-05	0.002152255	0.000720526	0.001246375	0	0.000667597	7.13E-05	0.000233069	0.001003747	5.30E-05	0.010890685	0	0.004717327	0	0.000586111	0.000197665	0.00047564	4.54E-05	0.000203431	0.00072943	0.000310791	0.000541326	0.001595243	0.001870572	0.004713115			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];Other	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__	5.22E-05	0.000130497	1.93E-05	0	4.16E-05	7.13E-05	2.89E-05	0	0.00072648	5.62E-05	1.92E-05	0	0.00047617	0.002356614	0.00044664	0	0.000377199	0.000270197	0.00155161	0	0.000525986	0.000570542	0.000499434	0.000200749	0.000211977	0.000719649	0	0.00051395	0	0.000302509	9.88E-05	3.40E-05	0.000340847	6.78E-05	9.73E-05	0.000186474	2.85E-05	0.0003263	3.78E-05	3.42E-05			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24	5.22E-05	0.000152247	0.000192775	0	4.16E-05	0	0.000115487	0	0.00036324	2.81E-05	1.92E-05	0.000218376	0.001341933	0	0.003625663	2.52E-05	0.001508798	0.000540394	0.001068322	0	0.000971051	0.003690695	0.001864554	0.00113758	0.002888182	0	0.000144571	0.002129222	0	0.00130457	0.000960086	0.002649997	0.000272678	0	0.000340401	0.033876181	0.004188154	0.000906388	0.000585735	0.000239071			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	0.002194415	0	0.000520492	0	0	3.57E-05	2.89E-05	0	0.00036324	0.000365004	0	0	4.33E-05	0	0.000709369	0.000151076	6.66E-05	0	0	0	0.000101151	7.13E-05	0.000665912	6.69E-05	0.000980392	0	0.000289143	1.84E-05	0	0.000434857	0.000367092	0.000339743	0.000136339	0	0.000145886	0.000932372	0.000797744	0	0	0			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	2.52E-05	0	9.01E-05	0	0	0.000182072	0.000106977	0	0.000133833	0.000105988	2.40E-05	0	0	0	0.000151254	2.82E-05	0.000203846	2.27E-05	0	4.86E-05	0.000124316	2.85E-05	0.000181278	0	6.83E-05			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29	0.003683482	0	0.004144658	0	0	0.00117689	0	0	0	0.000252695	0	2.73E-05	0.000735899	0.000612107	0.001839105	0	0.000110941	0	0.000228926	0	0.000121381	0.000873643	0.001764667	0.000133833	0.001377848	0	0.000578285	0	0	0.001115502	0.000508281	0.000679486	0.000886203	0	0	0.001616111	0.001937377	0.000181278	0	0			
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.054050524	0.006263865	0.09623318	0.012094957	0.004532225	0.043045649	0.032422913	0.012345679	0.079549582	0.045513252	0.024986044	0.01987225	0.021384356	0.036206158	0.061820188	0.066398086	0.01910404	0.023597226	0.016965966	0.055759219	0.033298942	0.023980602	0.070087234	0.026365096	0.082962374	0.006836664	0.026311985	0.01736417	0.001969977	0.054621769	0.066711847	0.039885846	0.030289947	0.035193599	0.014685859	0.053393834	0.086925553	0.014574723	0.010562116	0.00239071			
k__Bacteria;p__Acidobacteria;c__iii1-8;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	1.78E-05	0	0	2.65E-05	0	0	0	0	3.78E-05	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__iii1-8;o__	5.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.69E-05	0	0	0	0	0	5.67E-05	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20	0.005642781	0.002435948	0.002467517	0.002028347	0.000623701	0.00224679	0.004590599	0.014468145	0.006175082	0.004071204	0.003638184	0.006332915	0.013462621	0.000887556	0.005596133	0.002996349	0.007433047	0.005494011	0.012590935	0	0.009933038	0.008076738	0.007125258	0.0060894	0.009406465	0.00280663	0.002023999	0.012903818	0	0.012799909	0.007906589	0.011449344	0.005794401	0.005424832	0.004522466	0.009572352	0.012621442	0.011166703	0.005762872	0.003961749			
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	0.013610596	0.00883031	0.001079539	0.006811239	0.002120582	0.006027104	0.012819032	0.025858714	0.006538322	0.013701707	0.006102139	0.001501338	0.023029306	0.008538899	0.011638905	0.011859499	0.046018327	0.013059533	0.032685557	0	0.013291254	0.033073618	0.014350403	0.020409529	0.005246423	0.012521889	0.001301142	0.014610866	0.01209416	0.010209677	0.004390981	0.007236529	0.018996546	0.009154404	0.007294301	0.002921432	0.002336249	0.019795519	0.011809164	0.005840164			
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36	7.84E-05	4.35E-05	0.000115665	2.50E-05	2.08E-05	0	8.66E-05	0.001202731	0.00072648	0.000140386	3.85E-05	2.73E-05	0.000692611	0	0.000367821	2.52E-05	0.00173068	0.000180131	0.000559597	0	0.000708058	0.000891472	0.000133182	0.000669165	0.000423953	0.00014393	0.000144571	0.000605727	0	0.000775179	0.000635351	0.000747435	0.000749864	0.000271242	0	0.000745898	0.000769253	0.000507577	0.000151157	0.00034153			
k__Bacteria;p__Actinobacteria;Other;Other	0.000208992	8.70E-05	0.000115665	7.51E-05	8.32E-05	0	0.000144358	0.000176872	0	2.81E-05	0.000134748	5.46E-05	0.000432882	0	5.25E-05	2.52E-05	0.000266258	0	5.09E-05	3.08E-05	0.000303453	0.000231783	0.00029966	0.000133833	0.000370959	2.40E-05	0	0.00023862	4.99E-05	0.000189068	0.000197665	0.000135897	0.000227231	0	4.86E-05	0.000435107	0.000113963	0.000145022	1.89E-05	0			
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.013192612	0.00419766	0.008655589	0.007136776	0.002869023	0.00256776	0.00733341	0.00693339	0.009444243	0.009097035	0.005948141	0.00499536	0.011038483	0.008018608	0.005701224	0.006773259	0.005768932	0.005043682	0.006537111	0.003419488	0.012016751	0.00543798	0.010854365	0.005018737	0.009591945	0.004293905	0.006794853	0.004974302	0.003540971	0.010587813	0.00906434	0.006964735	0.011452463	0.004882349	0.004473838	0.012431626	0.005897604	0.007106084	0.002890883	0.005259563			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	0.000182868	8.70E-05	1.93E-05	0.000250413	2.08E-05	0.000142653	8.66E-05	0.000106123	0	0.000196541	0.000384993	0	0.000216441	3.06E-05	2.63E-05	0.000100718	0.000110941	0.000180131	0.000178054	0.000462093	0.000182072	8.91E-05	0.000166478	0.000200749	0.000291468	0.00014393	0	0.000256975	9.97E-05	3.78E-05	0.000282378	0.000135897	0.000340847	6.78E-05	4.86E-05	0.000124316	8.55E-05	7.25E-05	5.67E-05	6.83E-05			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44E-05	0	0	0	0	0	0	0	2.65E-05	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.013688968	0.029818609	0.063731349	0.027770822	0.068357588	0.02371612	0.018391269	0.033110474	0.054849255	0.040683962	0.065814549	0.019435497	0.020518592	0.012150334	0.007041143	0.035578497	0.013002285	0.026119067	0.009436842	0.030682973	0.032429043	0.007666661	0.033029234	0.023086188	0.029411765	0.008275961	0.041202834	0.024522761	0.056830083	0.017507705	0.045208748	0.026839709	0.051945101	0.032820235	0.022174674	0.046183491	0.02441665	0.023892394	0.017893245	0.016325137			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0.00039186	0	7.71E-05	0	0	0	0	0	0	0.000224618	0.000115498	0	0	0	0	2.52E-05	0	0	0	0	0	0	6.66E-05	0	0	0	0	0	0	0	9.88E-05	0.000305769	0	0	0	0.004164595	0.000997179	0	0	0			
k__Bacteria;p__Actinobacteria;c__KIST-JJY010;o__	0	0	3.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__	2.61E-05	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	0	0.000157638	0	0.000155317	9.01E-05	2.54E-05	0	0	0.000142636	9.99E-05	0.000133833	2.65E-05	0	0	0.000256975	0	0	0	3.40E-05	6.82E-05	0	0	0	2.85E-05	3.63E-05	0	0			
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14	0.001253951	0.000108748	0.00015422	0	6.24E-05	0.00010699	0.00017323	0.001945594	0.001816201	0.0018531	7.70E-05	0	0.006666378	0.000122421	0.003126478	0	8.88E-05	0	0.000305235	3.08E-05	0.002043252	0.003815501	0.002297396	0.000133833	0.001589825	7.20E-05	0.000144571	0.000128488	2.49E-05	0.002949462	0.001397772	0.001223075	0.003158517	0	4.86E-05	0.003853804	0.00068378	0	1.89E-05	0			
k__Bacteria;p__Actinobacteria;c__OPB41;o__	0	0	0	0	0.002785863	0	0	7.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000119941	0	0	0.000773029	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	0.000104496	0	1.93E-05	0.000125207	2.08E-05	7.13E-05	2.89E-05	0	0	0	0	0	0	6.12E-05	0	0	0	0	0	0	0	0	3.33E-05	0	0	0	0	0	0	0	4.24E-05	0	2.27E-05	0	0	0	2.85E-05	3.63E-05	0	0			
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.013192612	0.003566923	0.003566334	0.006135123	0.002432432	0.002104137	0.006929207	0.010187838	0.006901562	0.009911276	0.004677665	0.001474041	0.01891693	0.001132399	0.007382691	0.001812917	0.009807185	0.001981446	0.01322684	3.08E-05	0.009811657	0.011892239	0.010821069	0.00495182	0.00673026	0.002350853	0.005782854	0.007048458	0.003117052	0.014917472	0.011111582	0.00842563	0.015019996	0.003458331	0.001312974	0.011188463	0.007863472	0.002682909	0.001001417	0.000785519			
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.014812299	0.010961764	0.016193083	0.031877598	0.005072765	0.012517832	0.016976556	0.03650642	0.010170723	0.017351752	0.018344915	0.018452803	0.014025367	0.026106384	0.003730755	0.009895505	0.008187446	0.01927407	0.009436842	0.028126059	0.015840262	0.004386043	0.010421522	0.007494647	0.017673556	0.004197951	0.046407402	0.012922173	0.011769987	0.015446862	0.026444717	0.025276891	0.015133612	0.021631518	0.014929002	0.03623819	0.025242884	0.016351244	0.012149268	0.014105191			
